"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2018","sheets.players.League","sheets.players.Age.on.1.Dec.2018","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"11","6","-5","Dzsenifer Marozsán","Midfielder","Lyon","Division 1 Féminine","26","Germany","German, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/9486d6054265630f702779aefbf9ee3f29092af3/1386_112_937_937","cropRatio=937,937&size=140,500,937","https://media.guim.co.uk/3f3647f3905106f12bc03646ddadef28ed5a9876/0_207_2519_1511","cropRatio=2519,1511&size=140,500,1000,2000,2519","","The Germany captain drops out of the top 10 this year but her talent levels have not waned. Seven goals and the same number of assists helped Lyon to the French title and the Champions League before illness meant she missed a large chunk of the start of the 2018-19 season. Two goals in a tight game against Montpellier showed Marozsán’s ability to pop up at important moments and, while she did not find the net for Germany during 2018, she continued to play a key role as a side in transition between managers qualified for the World Cup.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"12","41","29","Lindsey Horan","Midfielder","Portland Thorns","NWSL","24","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/d2e32bd2c6d5db543735a58f8ba8e161aacf733d/958_56_1278_1278","cropRatio=1278,1278&size=140,500,1000,1278","https://media.guim.co.uk/881afaee40e2e548e9fefaf8ce5db731aa2b7abb/0_616_2472_1483","cropRatio=2472,1483&size=140,500,1000,2000,2472","","Horan was named MVP in this year's NWSL, crowning the season of her life. She rockets almost 30 places to the verge of the top 10 and that is no surprise after a campaign in which she scored 13 goals from midfield. The tally was not enough to see Portland retain their league title but Horan rightly took plaudits for her performances as they made the end-of-season play-offs. Her knack of scoring at big moments, including the semi-final against Seattle Reign, was notable and the midfielder also chipped in with four goals for the USA during their unbeaten 2018.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"13","36","23","Fran Kirby","Forward","Chelsea","WSL","25","England","English, WSL, Forwards","","","https://media.guim.co.uk/8af6b75be3fb0849ea6ff3f27cf4f4da6751baef/896_133_1393_1393","cropRatio=1393,1393&size=140,500,1000,1393","https://media.guim.co.uk/8a9766cf2fc8676b9713b5860a18dc54b282879c/0_102_2983_1791","cropRatio=2983,1791&size=140,500,1000,2000,2983","","The England forward makes a big leap in the charts after playing a key role in Chelsea’s domestic double. Kirby scored at vital moments against Birmingham and Arsenal, and hit two in the Champions League quarter-final against Montpellier. She was just as deadly in the FA Cup, providing a decisive double against Manchester City in the semi-final and a further goal at Wembley as her side <a href=""https://www.theguardian.com/football/2018/may/05/arsenal-chelsea-womens-fa-cup-final-match-report"">beat Arsenal to the trophy</a>. This season the big contributions have continued, most notably a Champions League hat-trick against Fiorentina in October. For the national team Kirby has been used in a deeper role but scored in both recent friendlies <a href=""https://www.theguardian.com/football/2018/oct/07/fran-kirby-england-women-football-brazil-marta"">against Brazil</a> and Australia. ","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"14","4","-10","Marta","Forward","Orlando Pride","NWSL","32","Brazil","Other nationalities, Other Leagues, Forwards","","","https://media.guim.co.uk/b8f300701165d7fad7b5f21ad166820fc3aea602/924_279_583_583","cropRatio=583,583&size=140,500,583","https://media.guim.co.uk/82f115ee45964ec4087a664a4930aed165a5eb88/0_212_5184_3110","cropRatio=5184,3110&size=140,500,1000,2000,5184","","The Brazilian superstar may have been voted Fifa's Player of the Year but she drops out of this year's top 10. Marta managed just four league goals during the NWSL season as Orlando Pride failed to reach the play-offs. Two goals in the first two games had suggested a promising season and there were undoubted signs of her quality in her footwork and technique. She played a regular role in Brazil's Copa América Femenina triumph, also scoring against World Cup runners-up Japan in the Tournament of Nations, but she will be hoping for a better 2019.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"15","7","-8","Vivianne Miedema","Forward","Arsenal","WSL","22","Netherlands","Dutch, WSL, Forwards","","","https://media.guim.co.uk/a250f4f90ca9ad5a0a7a476d979c596d8982598e/1777_133_894_894","cropRatio=894,894&size=140,500,894","https://media.guim.co.uk/fdce780a83e93650bbeb8ad7cdde64409c3ba4c8/0_240_4282_2570","cropRatio=4282,2570&size=140,500,1000,2000,4282","","The first and second halves of 2018 could hardly have gone more differently for Miedema. She scored two league goals in an injury-hit start to 2018, but was on target in Arsenal's FA Cup final defeat and she has taken off this new season. Miedema has already bagged 13 WSL goals this time around, including two hat-tricks, and is well on her way to breaking the golden boot record before Christmas. The Netherlands have also benefited from her hot streak: she scored in both legs of the World Cup play-off against Switzerland to help them make it to France next summer.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"16","13","-3","Christine Sinclair","Forward","Portland Thorns","NWSL","35","Canada","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/3c0f154e3e5de94e538d88a109b2c38f86838862/508_387_1101_1101","cropRatio=1101,1101&size=140,500,1000,1101","https://media.guim.co.uk/a53c8bef70795d6353dc14afdeb867d77b28e40a/0_71_3842_2306","cropRatio=3842,2306&size=140,500,1000,2000,3842","","Sinclair continues to defy the odds and it is no surprise that, even at 35, she continues to lurk around the top end of the rankings. Nine goals and six assists ensured she was at the heart of everything good the defending NWSL champions Portland Thorns did in 2018, even if it meant ending the year as runners-up on this occasion. Canada’s captain also had another highly influential year for her country, scoring eight goals as they qualified for the World Cup and Sinclair personally closed in on Abby Wambach’s all-time international record.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"17","19","2","Ramona Bachmann","Forward","Chelsea","WSL","27","Switzerland","Other nationalities, WSL, Forward","","","https://media.guim.co.uk/4476a4baa00f8f5bcab761a0c4134226711bf44b/1973_29_721_721","cropRatio=721,721&size=140,500,721","https://media.guim.co.uk/1ab929bf407ee175b1598032fae8d4fb7b5db836/0_27_1670_1002","cropRatio=1670,1002&size=140,500,1000,1670","","Bachmann might not be the most prolific, but her work ethic and ability to create are among the reasons she is so highly rated within the game. She did not score a league goal in the second half of the 2017-18 season but saved her best for the FA Cup final, where she was unplayable. Her two goals against Arsenal at Wembley played the biggest part of all in <a href=""https://www.theguardian.com/football/2018/may/05/arsenal-chelsea-womens-fa-cup-final-match-report"">helping Chelsea lift the trophy</a>. While her tenacity, intensity and passion make her the player she is, she could do little for Switzerland as they were swept aside by the Netherlands in the European play-off for a World Cup spot.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"18","23","5","Saki Kumagai","Midfielder","Lyon","Division 1 Féminine","28","Japan","Other nationalities, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/cfed7342ec6e8a555c17e5fc787847b3826568e4/1768_99_588_588","cropRatio=588,588&size=140,500,588","https://media.guim.co.uk/d7519d10a8d4a514dbb4396fd961858f146eaa6b/297_30_3491_2095","cropRatio=3491,2095&size=140,500,1000,2000,3491","","Defensive midfielders do not always receive the credit they deserve but Kumagai’s rise into the top 20 proves that the best get recognised. One of the classiest in the game and able to combine her duties between midfield and defence, she was not always a starter for Lyon's all-conquering side but her major success in 2018 came for her country. She captained Japan as they <a href=""https://www.theguardian.com/football/2018/apr/20/matildas-left-to-rue-missed-chances-after-japan-win-asian-cup-final-with-late-goal"">defeated rivals Australia</a> to win the 2018 Asian Cup – making this another top year for a top player.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"19","24","5","Alexandra Popp","Midfielder","Wolfsburg","Frauen Bundesliga","27","Germany","German, Frauen Bundesliga, Midfielders","","","https://media.guim.co.uk/f250c66a102f2a0ceff2a67364af95fe9ae6c3a0/854_195_1065_1065","cropRatio=1065,1065&size=140,500,1000,1065","https://media.guim.co.uk/a69bd7ab43405ef573f5caf09619ee4108724e54/0_72_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","Popp squeezes into the top 20 this year thanks to her role in Wolfsburg’s title success and run to the Champions League final. While she is not a regular goalscorer, her five assists in the second half of 2017-18 showed what a creative influence she is – and that was underscored by the two goals she set up during her side's <a href=""https://www.theguardian.com/football/2018/apr/30/chelsea-wolfsburg-ladies-miss-champions-league-final"">Champions League semi-final against Chelsea</a>. Five goals for Germany also ensured a successful year on that front but unfortunately Popp may be best remembered for her red card in the Champions League final while Wolfsburg were leading 1-0 in extra time, allowing Lyon to go on and win the title.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"20","35","15","Caroline Graham Hansen","Midfielder","Wolfsburg","Frauen Bundesliga","23","Norway","Other nationalities, Frauen Bundesliga, Midfielders","","","https://media.guim.co.uk/cdc4770619d0f6db94e4df6a268f58af9c18fd50/1420_17_1618_1618","cropRatio=1618,1618&size=140,500,1000,1618","https://media.guim.co.uk/afaec084667376df10d183cabe384a0953eda1e5/0_148_5823_3495","cropRatio=5823,3495&size=140,500,1000,2000,5823","","Injury once threatened to derail one of Europe’s most promising talents but, at just 23, Graham Hansen is a worthy addition to this year’s top 20. There were not many goals but the assists flowed as she forged a deadly partnership for Wolfsburg with Pernille Harder, keeping her composure to score the winning penalty against Bayern Munich in the German cup final. She also played a key role in helping her country finish above the Netherlands in the World Cup qualifiers, guaranteeing an automatic spot in France for next summer.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"21","53","32","Crystal Dunn","Forward","North Carolina Courage","NWSL","26","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/2073bb8bd8d1d1982d3764049484d4233bab5ebc/1943_175_1369_1369","cropRatio=1369,1369&size=140,500,1000,1369","https://media.guim.co.uk/39bc07841cc3af529e1c069ffaf6a218920602b1/522_75_3661_2197","cropRatio=3661,2197&size=140,500,1000,2000,3661","","There was keen interest in how Dunn would fare after returning to the NWSL from Chelsea at the start of 2018, and her rapid rise in the charts demonstrates things went according to plan. Her ranking as North Carolina Courage's top player shows how pivotal she was in a year where they dominated the domestic competition. Playing in a range of positions, she scored eight goals as the Courage won the regular season and followed that up by beating Portland Thorns for the overall title. Dunn also played a regular role as the USA went 20 games unbeaten through 2018.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"22","116","Re-entry","Amel Majri","Midfielder","Lyon","Division 1 Féminine","25","France","French, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/a14ee68e8eb303cfd78f3422024422ad75c233df/1940_77_623_623","cropRatio=623,623&size=140,500,623","https://media.guim.co.uk/6be8d89c1ca6ae5457b4a670aecd4b742fb19e6d/93_64_4277_2565","cropRatio=4277,2565&size=140,500,1000,2000,4277","","Somewhat unsung in the past, Majri has managed to stand out this year in a star-studded Lyon side. One of the most creative wingers in the game, she ended 2017-18 with double figures for assists while chipping in with two braces during the second half of the campaign. Two further pairs have followed early in the 2018-19 campaign; she has continued to be a regular and important player both for Lyon and the national team and, if France want to win their home World Cup in 2019, she could be as important as anyone.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"23","","Re-entry","Kim Little","Midfielder","Arsenal","WSL","28","Scotland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/3df0f100783807e93bcc65a105dbc482315fe53c/1059_209_614_614","cropRatio=614,614&size=140,500,614","https://media.guim.co.uk/34d26aa7e5669fd28b1ee441c7244c075881e1b5/0_106_2688_1613","cropRatio=2688,1613&size=140,500,1000,2000,2688","","There will always be questions as to whether a world-class player can remain the same after a serious injury, but Little answered them emphatically in 2018. She had scored in her last seven games for club and country before a setback ended her year early, but four league goals early on proved crucial in helping Arsenal forge a gap at the top of the WSL. She played a key role for Scotland, scoring in her country’s final three qualifiers as they <a href=""https://www.theguardian.com/football/2018/sep/11/kim-little-scotland-arsenal-world-cup-france-2019"">reached the World Cup for the first time</a>, and has remained the same top-class player she always was.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"24","31","7","Jordan Nobbs","Midfielder","Arsenal","WSL","25","England","English, WSL, Midfielders","","","https://media.guim.co.uk/b704677bcbf04fe236aa02fae51bca91ff6c7c36/1581_90_933_934","cropRatio=933,934&size=500,933","https://media.guim.co.uk/e5751407139a8d3642fed2bef9197280bcc7108c/0_186_4684_2812","cropRatio=4684,2812&size=140,500,1000,2000,4684","","An ACL injury has <a href=""https://www.theguardian.com/football/2018/nov/19/jordan-nobbs-ligament-rupture-england-arsenal-blow"">cruelly ruled Nobbs out</a> for the rest of 2018 and, very likely, the 2019 World Cup but that does not detract from the form she has been in this year. Deservedly rising seven places in these rankings, her ability to influence games with goals, assists and general control is unmatched by most around the world. Unleashed by Joe Montemurro this season, Nobbs had already scored nine goals from midfield in Arsenal’s opening seven games, proving just how much quality she has and providing a significant reason for Arsenal's early dominance of the league.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"25","","Re-entry","Tobin Heath","Midfielder","Portland Thorns","NWSL","30","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/6d9591cd4de6a04e3a15aa8d9068aceb73e61bbe/1719_89_985_985","cropRatio=985,985&size=140,500,985","https://media.guim.co.uk/f8587354417c8ec63eaf6443eef49d3aea0c882e/0_251_5223_3136","cropRatio=5223,3136&size=140,500,1000,2000,5223","","A year broken up by injuries meant Heath only started 16 games for Portland as they looked to defend their NWSL title, but her impact at key moments showed her capabilities. She only had three goals to her name as Thorns' campaign reached the business end but then sparked into life, proving her big-game quality with four goals in the final four games of the regular season and an important strike in the play-off semi-final against Seattle Reign. Heath also scored seven times for the USA during an unbeaten 2018, bringing her overall tally to 14 goals for 2018.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
"26","39","13","Nilla Fischer","Defender","Wolfsburg","Frauen Bundesliga","34","Sweden","Swedish, Frauen Bundesliga, Defenders","","","https://media.guim.co.uk/5788c04609b827849190a7d9a5cd45c8d0ef6072/1351_274_922_922","cropRatio=922,922&size=140,500,922","https://media.guim.co.uk/c049326f91a39c071baf5db0d1aafec35541cab7/0_0_4957_2975","cropRatio=4957,2975&size=140,500,1000,2000,4957","","It is unsurprising to see the Wolfsburg captain Fischer rank among the top defenders in 2018, a reputation she has cemented over many years. Part of a team that kept 13 clean sheets in 18 matches during the second half of 2017-18, she walked away with another league title before announcing this season would be her last in Germany. She will return to Sweden with Linköping; meanwhile, under her new national team manager, Peter Gerhardsson, Fischer <a href=""https://www.theguardian.com/football/blog/2018/sep/25/wolfsburg-nilla-fischer-lgbt-sweden-world-cup"">continued to play a big role</a> as the Swedes booked their spot in France for the World Cup.","Rich Laverty","100","MC√","NA√","RB√","header-image-1_albatross.png"
