"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2019","sheets.players.League","sheets.players.Age.on.1.Dec.2019","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"11","32","21","Julie Ertz","Midfielder","Chicago Red Stars","NWSL","27","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/eda07e2349833294025e9754a101f6808bf2728d/1397_201_975_975","cropRatio=975,975&size=140,500,975","https://media.guim.co.uk/24cd896c9920a79987c7bcc2d26df9cea616f115/0_51_3911_2347","cropRatio=3911,2347&size=140,500,1000,2000,3911","","Ertz jumps up massively this year yet she is still unlucky not to make the top 10. Arguably now the best defensive midfielder in the game, Ertz played a critical role for both Chicago Red Stars, as they reached the NWSL final, and the USA in winning another World Cup. Tenacious, combative and strong in the tackle, Ertz is the ideal midfielder and does the dirty work necessary for any successful side. Still versatile from her days as a centre-back, Ertz has made the holding midfield role her own and played every minute of the knockout stages in France as her team marched to a second World Cup in a row.","","","","","","header-image-day-1_alligator.png"
"12","7","-5","Alex Morgan","Forward","Orlando Pride","NWSL","30","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/6e6428ce9133b98b15f6081f0131b896d02e2462/982_367_1682_1682","cropRatio=1682,1682&size=140,500,1000,1682","https://media.guim.co.uk/3af46490c85c524a27820ff347ceeba57361174b/68_131_1900_1140","cropRatio=1900,1140&size=140,500,1000,1900","","Morgan's highlights of the year came in the summer as her six goals helped the USA to retain the World Cup. Her USA commitments and injuries meant she played only six domestic matches but her five-goal haul against Thailand in France still stands out in the memory. It appeared she had the Golden Boot wrapped up but teammate Megan Rapinoe had other ideas, though she did tie with the winger thanks to a crucial header against England that won her side the semi-final. With Morgan announcing she is expecting her first child, who knows what 2020 brings as she looks to target a return in time for the Tokyo Olympics.","","","","","","header-image-day-1_alligator.png"
"13","11","-2","Dzsenifer Marozsán","Midfielder","Lyon","Division 1 Féminine","27","Germany","German, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/5559e48fed1ed2312d2e2c2d5740639f06a607a1/1669_193_657_658","cropRatio=657,658&size=500,657","https://media.guim.co.uk/b04f8ad4de8e0f178e2d49005a197dc72cb96f96/0_165_4516_2709","cropRatio=4516,2709&size=140,500,1000,2000,4516","","There's a big ""what if"" against Marozsán's name this year and she drops to her lowest ranking yet despite playing some of the best football of her career. She scored in the Champions League final against Barcelona but an injury early on in Germany's first game of the World Cup effectively curtailed her tournament before it had properly started and even 45 minutes against Sweden, playing through the pain, couldn't save her nation's tournament. It was a huge shame for one of the world's best players but she hasn't let it affect her club form. Since the summer, Marozsán's numbers are staggering. Maro had contributed 16 goals for Lyon by November, scoring seven and creating nine and she looks back to her best as she aims for an even bigger 2020. At the age of 27, there is plenty more to come.","","","","","","header-image-day-1_alligator.png"
"14","66","52","Ellen White","Forward","Manchester City","FA WSL","30","England","English, WSL, Forwards","","","https://media.guim.co.uk/782de20505cc43f98811d6079e3cd76b7c60366f/1707_146_585_585","cropRatio=585,585&size=140,500,585","https://media.guim.co.uk/e44dbdb5a103d96c26df9e76940fd0ea7160f2b9/0_365_5472_3283","cropRatio=5472,3283&size=140,500,1000,2000,5472","","Manchester City must be wondering how much stronger their position would be this season if White hadn't missed the first three months. Six goals for Birmingham City and two for England in the first half of 2019 earned her a move to the FA Cup holders but it was the World Cup where White shone brightest. She was the most consistent striker at the tournament, scoring in five of England's seven games and having a further two goals disallowed in the semi-final and third-place play-off defeats. Her six goals tied her with Megan Rapinoe and Alex Morgan but injury marred the start of her domestic campaign. Three goals in four games for Manchester City since returning, and a goal for England at Wembley, shows she has lost none of her poacher's instinct in what has overall been a superb year for White.","","","","","","header-image-day-1_alligator.png"
"15","20","5","Caroline Graham Hansen","Midfielder","FC Barcelona","Liga Iberdrola","24","Norway","Other nationalities, Liga Iberdrola, Midfielders","","","https://media.guim.co.uk/4434092537c92ab0f5a4cb5bd2a9d9b78b912bca/347_274_2204_2203","cropRatio=2204,2203&size=140,500,1000,2000,2204","https://media.guim.co.uk/a4f20c967dcc66068da2713fe26e094cdb47bf29/416_369_3658_2194","cropRatio=3658,2194&size=140,500,1000,2000,3658","","2019 was possibly Graham Hansen's finest year yet and one that has seen her rise once more in the rankings. She made the headlines when she swapped Wolfsburg for Barcelona in the summer and she has continued to go from strength to strength. Arguably the most creative player in the game today, Graham Hansen was in top form as she helped Wolfsburg to another title before leaving for Spain. A recent hat-trick against high-flying Deportivo is the highlight of her time in Spain so far and she has already created six goals for others. She shone in an exciting young Norway side in France and has scored 11 goals in only five games for her country since the summer.","","","","","","header-image-day-1_alligator.png"
"16","29","13","Daniëlle van de Donk","Midfielder","Arsenal","FA WSL","28","Netherlands","Dutch, WSL, Midfielders","","","https://media.guim.co.uk/0129a573ce0337f19ab2055d444c17e09329c37f/1382_173_882_882","cropRatio=882,882&size=140,500,882","https://media.guim.co.uk/b877412eeb9f4a09abc77680bbdafd62df771b0c/0_120_3600_2160","cropRatio=3600,2160&size=140,500,1000,2000,3600","","While players were getting injured left, right and centre at Arsenal at the start of 2019, Van de Donk was one of the key players that maintained their charge towards the WSL title. She hit double figures in the league for the first time since arriving in England and she had a habit of scoring at vital times. A tricky little player who picks up pockets of space, she linked up well with her international teammate Vivianne Miedema and her four-goal haul against Chile in a pre-World Cup friendly showed how capable she is in front of goal. She has started the new season in good form, scoring a last-gasp winner at Manchester United, a Champions League hat-trick against Slavia Prague and a hat-trick for her national team in a Euro 2021 qualifier against Turkey.","","","","","","header-image-day-1_alligator.png"
"17","25","8","Tobin Heath","Forward","Portland Thorns","NWSL","31","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/dc4950d6556d15c7e905c14fe78362c77f8c0f82/1125_78_840_840","cropRatio=840,840&size=140,500,840","https://media.guim.co.uk/e2602b6ede91d8b4598409af7207a3f65bc9b19a/45_105_4329_2596","cropRatio=4329,2596&size=140,500,1000,2000,4329","","Another star whose role with the World Cup-winning USA side lifts her back into the top 20. Heath did not score in France but her contribution was no less for it and it was her pull-back that led to Megan Rapinoe's second goal against the hosts in Paris. Heath's energy, trickery and skill on the USA's right wing caused endless problems for opponents, Spain in particular in the second round, while she remained a key performer for Portland Thorns too. Overall, she hit double figures for goals for club and country, setting up plenty more along the way in another highly productive year.","","","","","","header-image-day-1_alligator.png"
"18","21","3","Crystal Dunn","Forward","North Carolina Courage","NWSL","27","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/b3bb81676384eec66ccf5a62fc1f5307a060518d/1525_412_1523_1523","cropRatio=1523,1523&size=140,500,1000,1523","https://media.guim.co.uk/24f4954877e3df4a6715006a6bb05bf3e0383e52/0_62_3368_2021","cropRatio=3368,2021&size=140,500,1000,2000,3368","","Playing a pivotal role for club and country, Dunn's success in terms of both silverware and her personal performances makes 2019 one of her best years yet. In only 15 league games, Dunn found the net nine times and assisted several more goals and her overall play whether in defence, midfield or attack shows just what a high-class performer she is. There were some questions asked about her role at left-back with the USA heading into the World Cup but Dunn proved to be an exemplary choice, her energy allowing her to mix attack with defence as the USA successfully defended their trophy.","","","","","","header-image-day-1_alligator.png"
"19","9","-10","Lieke Martens","Forward","FC Barcelona","Liga Iberdrola","26","Netherlands","Dutch, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/727d184ca4fb4710750fcc0eaf0409d64b550ea8/1365_392_2607_2606","cropRatio=1801,1801&size=140,500,1000,1801","https://media.guim.co.uk/1c8553da1890e2e5032aa75c3cd8cec3c231a1cd/90_0_3377_2027","cropRatio=3377,2027&size=140,500,1000,2000,3377","","Who knows in which direction Martens' year would have gone had injury at the World Cup not effectively ended it early. She started the year in fine style for Barcelona, finding the net four times in January and February and looked in good form heading into the World Cup, scoring in five consecutive matches for club and country. Her highlight of the tournament came against Japan in the second round when her two goals sent the Dutch into the quarter-finals. She returned from injury only recently in a thumping 6-1 win against Deportivo and she will now be hoping to quickly get back to her best.","","","","","","header-image-day-1_alligator.png"
"20","","Re-entry","Sari van Veenendaal","Goalkeeper","Atlético Madrid","Liga Iberdrola","29","Netherlands","Dutch, Liga Iberdrola, Goalkeepers","","","https://media.guim.co.uk/2cbdc12dfe8cd41afe311cdef1ccb100bf2f871c/1535_130_574_574","cropRatio=574,574&size=140,500,574","https://media.guim.co.uk/3d40c92087cbccdea1bffc4da869c63f7b75cdd9/0_50_1403_842","cropRatio=1403,842&size=140,500,1000,1403","","Like her fellow goalkeeper Endler, it was the World Cup that made Van Veenendaal stand out and brought her nominations for several awards this year. Oddly, the Netherlands No 1 often found herself on the bench for Arsenal during their title-winning campaign and switched England for Spain and Atlético Madrid in the summer. Van Veenendaal's key contributions came in the summer as she did everything right to take her team to the World Cup final. She withstood pressure from Japan, kept a clean sheet against Italy and it is likely the Dutch would never have made the final had it not been for her save from Nilla Fischer's effort for Sweden in the semi. She thwarted the USA several times in the final before Megan Rapinoe beat her from the spot but she reminded everyone just how much ability she has.","","","","","","header-image-day-1_alligator.png"
"21","22","1","Amel Majri","Midfielder","Lyon","Division 1 Féminine","26","France","French, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/6369b96700685447b9dd903f6b7ae37199e2b67a/0_395_3333_3333","cropRatio=3333,3333&size=140,500,1000,2000,3333","https://media.guim.co.uk/29fe3831fb3393a32aa23a21eaefd6f362567cf8/0_188_4000_2400","cropRatio=4000,2400&size=140,500,1000,2000,4000","","Majri skips up one spot this year and while not being the biggest name in the Lyon team, her importance does not go unnoticed. When Majri is on her game she is simply unstoppable. A flying left-winger who often finds herself playing at full-back, Majri's pace and crossing ability bring her plenty of assists but she is not short of goals either. Three assists at the World Cup put her high in the rankings but her stats at club level as Lyon again dominated were as impressive as ever. Majri ended last season with 10 goals and nine assists while she has already registered four assists this season. Majri is one of the best left-sided players anywhere in the world at present.","","","","","","header-image-day-1_alligator.png"
"22","50","28","Debinha","Forward","North Carolina Courage","NWSL","28","Brazil","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/6a996b4339f29c75641f8723ad46391c2f587b71/228_263_3105_3105","cropRatio=3105,3105&size=140,500,1000,2000,3105","https://media.guim.co.uk/b91d6c6f4f7b20d7e32907af1e745d30bb5cf21e/311_301_5257_3154","cropRatio=5257,3154&size=140,500,1000,2000,5257","","A big jump up for Debinha to the edge of the top 20 and she is probably a little unlucky not to be higher. To become the star attacker in an all-star North Carolina Courage team says a lot for her ability but she needed consistency, which she added in abundance in 2019. Her year got off to a quiet start as she split duties between club and country and her World Cup was a quiet one, but it was after the tournament that her 2019 truly came alive. With skill, movement, pace and ability, Debinha went on a stunning run of form to lead the Courage to another NWSL championship. Nine goals after the World Cup, including strikes in both the NWSL semi-final and final, underlined her importance, while she also inspired Brazil with both goals in a friendly win against England. She will rank even higher next year if she repeats that sort of form.","","","","","","header-image-day-1_alligator.png"
"23","19","-4","Alex Popp","Forward","Wolfsburg","Frauen Bundesliga","28","Germany","German, Frauen Bundesliga, Forward","","","https://media.guim.co.uk/dafd6e0913707fd07eff80a7813496734dc186dd/1429_29_1162_1162","cropRatio=1162,1162&size=140,500,1000,1162","https://media.guim.co.uk/c86f75404e0b71dadf92af29d29b8e7deaf0a120/444_333_3056_1833","cropRatio=3056,1833&size=140,500,1000,2000,3056","","It was another virtuoso year for one of Wolfsburg's and Germany's key players. Able to play as a lead striker or sit deeper in midfield, Popp scored 22 times in 2019, 13 times for her club and nine times for her country, including two goals at the World Cup. Playing up front, Popp scored the opener and generally bullied England's defence in the recent friendly at Wembley and played a key role as ever in Wolfsburg's domestic success. There is not a lot left to say about Popp's importance given her consistency year after year, and this is the fourth time in succession that she has been ranked between 18th and 24th.","","","","","","header-image-day-1_alligator.png"
"24","53","29","Christiane Endler","Goalkeeper","PSG","Division 1 Féminine","28","Chile","Other nationalities, Division 1 Féminine, Goalkeepers","","","https://media.guim.co.uk/aaf9b0960c84e9a0b8b935020a2329b3ce02fd8c/888_240_1562_1561","cropRatio=1562,1561&size=140,500,1000,1562","https://media.guim.co.uk/9101c7c6e3d587b2eea631bf66ca1618ee3a81e3/0_196_4635_2781","cropRatio=4635,2781&size=140,500,1000,2000,4635","","What a year it was for Endler. She is superstar of a goalkeeper and while she often shared duties at PSG with Katarzyna Kiedrzynek, Endler came into her own at the World Cup for Chile. With her team making their World Cup bow, Endler likely knew she would be up against it in France but she was superb throughout, doing all she could to keep Sweden at bay for 83 minutes while a string of incredible saves against the USA gained her plenty of recognition. Endler's performances earned her a nomination for the Fifa Goalkeeper of the Year award alongside Sari van Veenendaal and Hedvig Lindahl and she has now firmly established herself as one of the best in the world.","","","","","","header-image-day-1_alligator.png"
"25","49","24","Jenni Hermoso","Forward","FC Barcelona","Liga Iberdrola","29","Spain","Spanish, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/b74d66dac96eb584724968d7808985c3c4ca3cbb/1033_85_1156_1156","cropRatio=1156,1156&size=140,500,1000,1156","https://media.guim.co.uk/2d04eba443144959a4fb6c538188da7a1cafc063/0_205_4000_2400","cropRatio=4000,2400&size=140,500,1000,2000,4000","","Hermoso does not quite crack the top 20 for the first time but a really impressive 2019 does give her a high ranking. The 29-year-old was identified as Spain's go-to player for goals at the World Cup and she did not disappoint, scoring two to haul her team from behind against South Africa before scoring the equaliser against the eventual champions USA in the second round. At club level, Hermoso was in inspired form be it for Atlético Madrid or Barcelona. Hermoso scored 27 league goals in 2019 between the two sides, scoring three hat-tricks, one of which came on her Barcelona debut against CD Tacón. There were simply few attackers around who could match Hermoso in 2019 and another year like that should see her rise further.","","","","","","header-image-day-1_alligator.png"
"26","14","-12","Marta  ","Forward","Orlando Pride","NWSL","33","Brazil","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/69378b6c62c16e23360087c6e6d44d31ea00ead7/647_104_968_967","cropRatio=968,967&size=140,500,968","https://media.guim.co.uk/fc289f91482b040adb19683e15740b7f5f63c50b/0_91_4000_2400","cropRatio=4000,2400&size=140,500,1000,2000,4000","","Marta has slowly dropped in the rankings since 2016 and for the first time finds herself outside the top 20. It's not that Marta had a bad year, but she is no longer performing to the superhuman levels of her peak years. The world did get to see glimpses of her ability and while there were fears Brazil would struggle at the World Cup, Marta scored twice and in her first three games for Orlando Pride after returning from France she struck four goals. Marta added two more before the end of the season to cap a really strong second half of the year and at 33 may have one more World Cup in her, but her target will now be the Olympics in Tokyo next summer.","","","","","","header-image-day-1_alligator.png"
"27","12","-15","Lindsey Horan","Midfielder","Portland Thorns","NWSL","25","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/a0eb5a13b2ac76932b16a0844446fe2b56ea6d3d/936_224_950_949","cropRatio=950,949&size=140,500,950","https://media.guim.co.uk/9f485fd2b6d594328a887b244e7196ff946565af/0_129_4000_2401","cropRatio=4000,2401&size=140,500,1000,2000,4000","","It was always going to be tough for Horan to surpass a superb 2018, hence a small drop in the rankings this year. Horan remained a consistent and vital performer for Portland Thorns as they again reached the NWSL play-offs but her World Cup was an odd one. Horan played all but half an hour in the group stage, finding the net against Thailand, but was left on the bench for the first two knockout games, against Spain and France. Horan returned and dictated the semi-final against England, sending in a superb diagonal ball for Alex Morgan to head home the second goal but did not feature at all in the final. It may be a testament to the USA's depth that Horan could be left out but when she did play she reminded everyone how good she is.","","","","","","header-image-day-1_alligator.png"
"28","16","-12","Christine Sinclair","Forward","Portland Thorns","NWSL","36","Canada","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/6b2718e255078c7c408a554bfd4b42ab58a0912f/386_360_2514_2514","cropRatio=2514,2514&size=140,500,1000,2000,2514","https://media.guim.co.uk/2932b497abd7ffc6947ce2b2478387fef0591f4d/0_265_4285_2571","cropRatio=4285,2571&size=140,500,1000,2000,4285","","Sinclair is now just one behind Abby Wambach’s international goalscoring record of 184 and it is likely she'll finally get there some time in 2020. At 36, Sinclair has probably been seen at a World Cup for the last time and while it wasn't one to remember for Canada, Sinclair did spark some life into her team with a goal in their defeat to the Netherlands. Four other goals for her country have left her agonisingly close to Wambach's tally while she found the net nine times for Portland Thorns for a third consecutive year. A superb hat-trick against Chicago Red Stars early on in the season was a highlight and it is impressive Sinclair is still performing at such a high level at 36. Whatever comes next, 2020 will be one to remember one way or the other for her.","","","","","","header-image-day-1_alligator.png"
