"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2021","League","Age.on.20.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile","Writer"
11,19,"8","Romelu Lukaku","Forward","CENTRE","Chelsea","England",28,"Belgium","https://media.guim.co.uk/c4b0b203ed0e03c870d4cab4b863d0b1e73ad0fb/1307_239_909_909/500.jpg","https://media.guim.co.uk/618d9cd5669a44bfd569cc4b3622baac7d3222a6/607_78_2179_1307/500.jpg","The Belgian narrowly misses out on our top 10 by a mere 29 points after a year that saw Euro heartbreak in the quarter-finals against Italy and injury overshadowing his return to Chelsea. However, the 28-year-old was immense as Inter powered to their first Serie A title in 11 years, scoring 24 times and providing 10 assists. “He is like an American football player,” his coach at Inter, Antonio Conte, said in Feburary. “He is an unusual footballer. He is a centre-forward, he acts as a target man, and he is very fast.” In the summer he returned to Chelsea 10 years after first walking through the doors at Cobham and is hoping to make his presence felt after a stop-start beginning to his second coming at Stamford Bridge.","Marcus Christenson"
12,NA,"Re-entry","Gianluigi Donnarumma","Goalkeeper","CENTRE","Paris Saint-Germain","France",22,"Italy","https://media.guim.co.uk/0a61a8481496fda3f41bcf8ed9c09a7b61ce1fa8/984_57_994_994/500.jpg","https://media.guim.co.uk/d7d22b8ba7c57f30aaa5277c5cd419dcecdc6c46/0_122_2565_1539/500.jpg","The second goalkeeper ever to be named as Player of the Tournament at a European Championship, Donnarumma earned his spot alongside Peter Schmeichel after saving three penalties in the shootouts that decided the last two rounds. His nonchalant swagger after keeping out Bukayo Saka’s spot-kick to seal Italy’s triumph in the final made it look like this all came too easy. In truth, “I didn’t realise we had won!” he said. Returning to our top 100 for the first time since 2016, Donnarumma impressed for Milan early in the year, too, but ends it in a job-share with Keylor Navas at Paris Saint-Germain.","Nicky Bandini"
13,9,"-4","Neymar","Forward","CENTRE","Paris Saint-Germain","France",29,"Brazil","https://media.guim.co.uk/1a2668ce5c50975b910ba902d244e91f64a590f3/1681_17_983_983/500.jpg","https://media.guim.co.uk/eb915ba67b1b09254765f8b8e4e868b51735dd4d/0_185_3400_2041/500.jpg","Ended early by another injury, this calendar year has perhaps been the weakest of Neymar's career. Although most of his peers would be satisfied with 23-goal contributions in 34 PSG games in 2021 (six of his 12 goals were penalties), after 31 contributions in 27 club outings across 2020 it may not be too soon to talk of a decline with the Brazilian turning 30 in early February. Such is his gargantuan talent, however, he has had his moments, often dragging PSG over the line in tight Ligue 1 games as the showman morphed into a fierce matchwinner. Unfortunately, however, some joyous displays in the Copa América aside, that happened increasingly infrequently this year.","Adam White"
14,NA,"New","Rúben Dias","Defender","CENTRE","Manchester City","England",24,"Portugal","https://media.guim.co.uk/357d50445ca7ed4f8375947655f64b65451366b1/1325_23_784_784/500.jpg","https://media.guim.co.uk/1a1fb53144bd86bd5b0a5db7d7b6716976b04e0b/0_145_3500_2100/500.jpg","Although City are not afraid of spending money, they do it after plenty of due diligence to make sure they have the right man. Dias cost £61.2m from Benfica and looked instantly assured in the Premier League, quickly becoming a leader on and off the pitch, even captaining the club, an impressive feat for the 24-year-old. He ensured City conceded only 32 goals on their way to winning the title thanks to his classy and determined defending. “Rúben Dias is the best centre-back in the world now,” José Mourinho said. “With his move to the Premier League with Man City, he is getting a different level of knowledge. He is a fantastic centre-back.”","Will Unwin"
15,20,"5","Harry Kane","Forward","CENTRE","Tottenham Hotspur","England",28,"England","https://media.guim.co.uk/0facee57481179fd75d63581eb615f65113faca0/328_0_1491_1491/500.jpg","https://media.guim.co.uk/28389ea91a0b1b639692c04f00661bbe386964e7/179_191_2377_1427/500.jpg","Another year and another load of goals for Kane, scored at a rate of better than one in two games for Tottenham and exactly one in one for England; the captain got 16 in 16, moving him to 48 from 67 caps and inexorably closer to Wayne Rooney’s record of 53. But the numbers have not told the story of a rollercoaster time, captured in microcosm at Euro 2020 when Kane laboured terribly before scoring late on against Germany in the last 16 to locate the ignition key. At Spurs, it has been trying, his failed push for a summer move to Manchester City being the low point.","David Hytner"
16,21,"5","Bruno Fernandes","Midfielder","CENTRE","Manchester United","England",27,"Portugal","https://media.guim.co.uk/388b4da70a19dafa4c0160f3eaf17554d7d1af86/1254_434_758_758/500.jpg","https://media.guim.co.uk/ba2d0cde7abbab3e68df848f0cbdea2a85bab0e0/0_93_1686_1012/500.jpg","Fernandes has risen five places yet this still seems low for a player who heaved Manchester United into second place last season, contributing a stellar 18 goals and 12 assists in the league, his spirit and cussedness making him the de facto captain of a side who lack leaders. This was underscored when Fernandes’s first flatlining of form since arriving in January 2020 coincided with United’s dismal two months this autumn, a period that ended with Ole Gunnar Solskjær being sacked. Fernandes scored a hat-trick against Leeds on the opening day and managed only one more goal for United until 2 December. Just as strange is how muted Fernandes can be for Portugal, as he was at Euro 2020.","Jamie Jackson"
17,NA,"New","Federico Chiesa","Forward","RIGHT","Juventus","Italy",24,"Italy","https://media.guim.co.uk/762284de9582731dae098ccf5d30b02d706d18f3/432_207_1539_1539/500.jpg","https://media.guim.co.uk/19f5bbf0e6d43011873a0317c09242d1c9290982/152_134_3169_1902/500.jpg","When Euro 2020 began, Chiesa was still being introduced to international audiences as “the son of the former Italy striker Enrico”. Federico wound up playing as many games for the Azzurri this year as his dad did in an entire career. He started the Euros on the bench but made himself undroppable after an extra-time winner against Austria and followed up with a brilliant goal in the semi-final against Spain. Goals against Porto and Chelsea in the Champions League further demonstrated his habit for rising to big occasions – even when teammates couldn’t. He is the second highest new entry on our list.","Nicky Bandini"
18,11,"-7","Joshua Kimmich","Midfielder","CENTRE","Bayern Munich","Germany",26,"Germany","https://media.guim.co.uk/09f88ac81d567b878950f6fee195cebc17856799/946_0_1520_1520/500.jpg","https://media.guim.co.uk/17d6376a3b68ade855af29e2eaf7525951d41016/264_125_3057_1834/500.jpg","It was a strange year for Kimmich, who was his normal superhuman self for most of the year, even rolling with the punches when moved by Joachim Löw to a hybrid right-wing-back role in an attempt to cover some of Germany’s deficiencies in Euro 2020. Likely to lead for club and country going forward, he then attracted criticism for his publicly expressed vaccine scepticism in the autumn and missed the end of the year with Covid and a lung infection. We can expect him to return strongly in the new year as a central pillar of Bayern’s push to regain the Champions League.","Andy Brassell"
19,58,"39","Luis Suárez","Forward","CENTRE","Atlético Madrid","Spain",34,"Uruguay","https://media.guim.co.uk/e932fed343d28e1ef760e102fc167371dd1b2251/813_30_2552_2553/500.jpg","https://media.guim.co.uk/b9105a1bc8056682b53b06ce8d2602bed95d3fb8/0_174_2885_1731/500.jpg","“Fat” and “finished” … and a league champion, a leader for the best team in Spain last season, having been pushed out by Barcelona and thus powered by rejection. Towards the end of the campaign, when Atlético were on edge, Diego Simeone suggested they were entering the Suárez Zone. When they came out the other side, they did so with the title, the Uruguayan appropriately scoring the goal that finally clinched it, away at Valladolid, his 21st in the league last season, and sitting there sobbing on a video call with his family.","Sid Lowe"
20,NA,"New","Édouard Mendy","Goalkeeper","CENTRE","Chelsea","England",29,"Senegal","https://media.guim.co.uk/10ccb7dcb6a439ac55b5e3048580953fc9e0eab5/856_141_976_976/500.jpg","https://media.guim.co.uk/9ca59e71d6c4b585474066ad30c1a02ab05a39ed/0_131_1902_1140/500.jpg","The Senegal international, who is the second highest goalkeeper on the list, was relatively unknown when he joined Chelsea from Rennes. Everyone knows who he is now though. Mendy has taken his game to another level this year. The numbers are staggering – at the time of writing Mendy has conceded as many goals (25) as he has kept clean sheets since Tuchel’s arrival at Stamford Bridge in January – and the performances are just as impressive. A new entrant, the 29-year-old offered security when Chelsea won the Champions League and his importance was underlined when he made a string of stunning saves during a 1-0 win at Brentford in October.","Jacob Steinberg"
21,NA,"New","Pedri","Midfielder","CENTRE","Barcelona","Spain",19,"Spain","https://media.guim.co.uk/97da12241031dfc8ac97be0b2ef230fd09e9df01/2282_88_766_766/500.jpg","https://media.guim.co.uk/d93c72d5ca8929b68bc4ded50e267318ff00cd3d/0_64_3000_1800/500.jpg","Pedri says he plays football as if he was in the garden with his brother and sometimes it shows. “A millionaire who doesn’t know it yet,” in the words of his former Las Palmas manager Pepe Mel. There’s something unassuming about him, the kid who turns up in a taxi with his kit in a carrier bag, but plays with an unlikely assuredness on the pitch. “Did you see Pedri’s Euros?” Spain coach Luis Enrique asked. “I haven’t seen that from any 18-year-old in any competition, not even Andrés Iniesta. I’ve never seen anything like it; it’s totally illogical.”","Sid Lowe"
22,NA,"Re-entry","Leonardo Bonucci","Defender","CENTRE","Juventus","Italy",34,"Italy","https://media.guim.co.uk/51612ea320e42311497989de27f6f58ac24208d8/666_9_1048_1048/500.jpg","https://media.guim.co.uk/6735a338cb2794a7142e95d4d4765173c11caf54/0_218_5472_3283/500.jpg","Who else but Bonucci could have silenced Wembley this summer? The man who celebrates all his goals with a ""wash your mouth out"" gesture was Italy’s star performer in the final against England – scoring the equaliser and creating one of their best chances to win the game outright with a ball over the top for Domenico Berardi. He was on target in the shootout, too, and thrived throughout the tournament, reminding the world what he was capable of alongside his long-time Juventus and Italy partner Giorgio Chiellini – even if that same combination has appeared less infallible at club level.","Nicky Bandini"
23,5,"-18","Sadio Mané","Forward","LEFT","Liverpool","England",29,"Senegal","https://media.guim.co.uk/41a0d5dc347ccb04dc32038716858bd21741a9d2/562_551_1132_1132/500.jpg","https://media.guim.co.uk/1ba4004fce8b4fff984fcbbaa0d56505f4e36377/0_113_2253_1352/500.jpg","It is no surprise that the Liverpool forward is a significant faller on this year's list. Mané described last season as ""the worst of my career"" and admitted he was so concerned about his form at one point that he underwent tests to check there was nothing physically wrong with him. Jürgen Klopp maintains he never harboured the same doubts and, after a rare extended holiday and a first full pre-season for several years, Mané has returned this season like the influential, selfless, penetrating striker of old. While Salah's goalscoring feats have understandably demanded the headlines, the Senegal international has been a key factor in Liverpool's recovery too.","Andy Hunter"
24,NA,"Re-entry","Giorgio Chiellini","Defender","CENTRE","Juventus","Italy",37,"Italy","https://media.guim.co.uk/0bffdc9e3c9fb9cbef403801e9b86dd85489be3c/1516_104_1117_1117/500.jpg","https://media.guim.co.uk/002cbae69d8ab4ec50a2e60c007ad13066eaf95b/0_194_1658_995/500.jpg","No other player looked like they had more fun at Euro 2020 than Chiellini. Whether throwing himself into a sliding challenge at the end of a group-stage blow-out or bear-hugging Jordi Alba before a semi-final shootout, Italy’s captain was constantly grinning and laughing, teasing and cajoling. He was technically without a club at the time – even Juventus were wavering over their decision to renew the contract of a player whose 37-year-old body had seemed close to breaking down. Chiellini plays fewer games than he used to, yet achieved his highest-ever position in our list by making the most of the ones he got.","Nicky Bandini"
25,NA,"New","Phil Foden","Forward","CENTRE","Manchester City","England",21,"England","https://media.guim.co.uk/debddf68e71e421b1062a19bed49445d88f8f874/1204_511_1246_1246/500.jpg","https://media.guim.co.uk/750a9b0b493b6577579a5cce17fa9a1a51b4c064/0_178_3500_2101/500.jpg","The Stockport Iniesta continues to thrive under the guidance of Pep Guardiola. He was carefully groomed to become a first-team regular by his manager, who refused to let him out on loan, and he is showing what he has learned at the Etihad Campus. The skilful midfielder is one of Guardiola’s most trusted players at the tender age of 21 as he can operate across the front three, including as a false nine. “There are players that play in one position and there are players who play football, when you play football it means you can play any position, you understand the game,” Guardiola said of Foden. Arguably the most talented English player for a generation, who gives the impression he is still playing with his mates in the park with his exuberance and desire to perform what tricks he can to bamboozle the opposition.","Will Unwin"
26,92,"66","Nicolò Barella","Midfielder","CENTRE","Internazionale","Italy",24,"Italy","https://media.guim.co.uk/4dbbd12acc6a8244ed0c1736370dfa047886df35/1239_45_737_737/500.jpg","https://media.guim.co.uk/ccba35d06ed423aa21a7b864a6a71e49c9d71bd0/0_90_2814_1688/500.jpg","If one player could embody the fresh wave of energy and optimism that allowed Italy to rebound from a missed World Cup qualification in 2018 to become European champions in 2021 perhaps it is Barella, who had never lost in 31 appearances for the national team before they succumbed to Spain in October’s Nations League semi-final. He had already helped Inter to end an 11-year Scudetto drought this summer and was named as Serie A’s midfielder of the season. As Antonio Conte put it: “He can run as much [in one game] as most players can in two.”","Nicky Bandini"
27,NA,"New","Mason Mount","Midfielder","CENTRE","Chelsea","England",22,"England","https://media.guim.co.uk/73bd2c9a4a300d34b139450bbebe06afd8338def/948_78_1285_1285/500.jpg","https://media.guim.co.uk/14d35d98838ee1b1b95b2cd87368eec09a42bdf5/0_62_2751_1651/500.jpg","A new entrant, the midfielder was an easy choice as Chelsea’s player of the year last season. Thomas Tuchel could rely on him to turn up in the big games. Mount scored key goals during Chelsea’s run in the Champions League – his solo effort against Porto was a gem – and provided the assist for Kai Havertz’s winner in the final. Technically gifted and tactically intelligent, he has also established himself as a starter for England and helped Gareth Southgate’s side reach the final of Euro 2020. “He’s very competitive and serious about the goals he wants to reach,” Tuchel says.","Jacob Steinberg"
28,14,"-14","Thomas Müller","Forward","CENTRE","Bayern Munich","Germany",32,"Germany","https://media.guim.co.uk/bbdb2371eadaed0121bc5ae336b73c40730ef1a3/1012_133_1288_1288/500.jpg","https://media.guim.co.uk/f4755877e2db7e88c00ab113842481fcfe6f18e7/150_121_3343_2006/500.jpg","At 32, there is little evidence of regression in Müller’s game. If anything he’s peaking, and has had a great 2021 despite Bayern failing to retain their Champions League crown. He celebrated a deserved return to the Germany team and contributed by helping them become the first European nation to qualify for the World Cup finals and is well on course to reach 20 assists (he managed a mere 18 in the Bundesliga last term). Like his teammate Robert Lewandowski, Müller is actually improving in his 30s and his unique, intelligent game shows every sign of ageing well.","Andy Brassell"
29,27,"-2","Raheem Sterling","Winger","LEFT","Manchester City","England",27,"England","https://media.guim.co.uk/119e4329ed465732c1b10bf2c91209f60aafbe70/1591_45_1220_1221/500.jpg","https://media.guim.co.uk/d4de976d9f047267100f851e1cfb28884059df68/0_61_1866_1119/500.jpg","The 27-year-old’s placing seems an oddity. How can a man who was England’s star act at Euro 2020 not be of top-20 status? One reason might be that Sterling lost his regular place last season when Pep Guardiola dropped him for a win over Southampton in mid-March. Sterling has now re-established himself at City and has found his scoring touch once again.","Jamie Jackson"
30,44,"14","Lautaro Martínez","Forward","CENTRE","Internazionale","Italy",24,"Argentina","https://media.guim.co.uk/939adce138e1c234c41ae0dc816a64d64abd0379/1259_27_818_818/500.jpg","https://media.guim.co.uk/dc957cee35bc081ea9c3a5bd17030473f6cadcea/0_131_3500_2100/500.jpg","The future only ever seems to look brighter for a centre-forward who scored his first hat-trick in January, won his first major piece of silverware – a Serie A title – in May and then lifted the Copa América with Argentina in July. He scored three goals at that tournament and, better yet, dovetailed effectively with Leo Messi, something that too many predecessors in the Albiceleste attack have struggled to do. It was no surprise to learn that Messi had tried to lure Martínez to Barcelona before he knew that his own time at that club was coming to an end.","Nicky Bandini"
31,NA,"New","Vinícius Júnior","Forward","LEFT","Real Madrid","Spain",21,"Brazil","https://media.guim.co.uk/e5fc207ffba13496fa88efeb32cb6ffe71de0f49/546_48_1594_1594/500.jpg","https://media.guim.co.uk/cd121ed54ebe76786b84fbb69d1477579061ccdf/0_232_4274_2566/500.jpg","Asked recently to explain how he had improved so much from the player who first arrived at the Bernabéu, Vinícius Júnior said simply: “I was 18.” It was an effective response and a handy reminder to all of us, and yet the question made sense too and it is hard to recall a player whose transformation has been so dramatic. At times he was laughed at, the theme of a million memes as he missed chances; now he may well be the best player in La Liga, electric and decisive and calm in front of goal.","Sid Lowe"
32,38,"6","Ángel Di María","Winger","RIGHT","Paris Saint-Germain","France",33,"Argentina","https://media.guim.co.uk/9fa36ce19f8a90009f801ae3e9f4b58624d4a679/1099_398_1090_1090/500.jpg","https://media.guim.co.uk/b9b2c93d74003e77c389409678fb7362937a9d19/0_0_4436_2661/500.jpg","Now 33, and no longer an automatic first choice for Mauricio Pochettino, or indeed for his country, Di María nevertheless continues to be a key figure for both. Even as Kylian Mbappé, Lionel Messi and Neymar take the spotlight in the French capital, his timely displays turn matches with regularity, exemplified by his goal and assist in a comeback win over Lille in October. Able to play comfortably on either flank, Di María is versatile, both tactically and positionally, as well as full of class and vision with the ball at his feet. All of which has made him an integral part of every iteration of PSG since his arrival, something that has continued unabated despite the arrivals of more talented teammates.","Eric Devin"
33,28,"-5","Jan Oblak","Goalkeeper","CENTRE","Atlético Madrid","Spain",28,"Slovenia","https://media.guim.co.uk/4ecdf3adf0f8ef5386ab063b77b9c3687ed49220/1568_252_1120_1120/500.jpg","https://media.guim.co.uk/969765bde093fdda01c26590b64c79618ed67e82/0_29_4475_2686/500.jpg","After Atlético Madrid somehow found a way through against Porto recently, Diego Simeone started to say that “that’s why you have the best goalkeeper in the wor …” Interrupted, the phrase didn’t quite get completed, but it still stood out because after many years of performances of the highest level – he has been on this list every year since 2016 – and, having won the league, this season Oblak had started to look a bit, well, normal. And he really isn’t.","Sid Lowe"
34,18,"-16","Trent Alexander-Arnold","Defender","RIGHT","Liverpool","England",23,"England","https://media.guim.co.uk/288eeca024e51794e4f3fd1d6481287868578bc3/689_57_2002_2002/500.jpg","https://media.guim.co.uk/d19f079de86fce6a6edce937587d42d0ae02304a/0_0_3500_2100/500.jpg","The Liverpool defender has been in superb form for Jürgen Klopp's title challengers this season with the world-class quality of his deliveries from right-back continuing to shape matches. After all the fuss over how many right-backs Gareth Southgate should take to the European Championships, the 23-year-old was highly unfortunate to miss England's campaign with a thigh injury sustained on the eve of the tournament. He also had to deal with constant disruption to Liverpool's defensive line last season, playing alongside a different centre-back pairing seemingly every week, but he remains one of the most decisive full-backs in the game.","Andy Hunter"
35,NA,"Re-entry","Ilkay Gündogan","Midfielder","CENTRE","Manchester City","England",31,"Germany","https://media.guim.co.uk/0dd96f66ca84b35c473fa95586b69692e1b87127/767_1_1774_1773/500.jpg","https://media.guim.co.uk/f9f5ae99bc3e99f3657d7b3ac4fa4a3cefa24530/39_75_3457_2075/500.jpg","Pep Guardiola began 2021 in need of a goalscorer and found one in the unlikely shape of Gündogan, who scored 11 goals as Manchester City left their title rivals behind. The 30-year-old midfielder’s reinvention surprised many, but not Guardiola. ""I said he can play as a false nine and people laughed,"" the City manager said. Guardiola must surely rue his decision to move Gündogan back into a holding role for the muddled Champions League final defeat to Chelsea. Likewise Jogi Löw, who dropped him for Germany’s chastening Euro 2020 defeat by England at Wembley. Always dependable, Gündogan is now close to indispensable.","Niall McVeigh"
36,15,"-21","Manuel Neuer","Goalkeeper","CENTRE","Bayern Munich","Germany",35,"Germany","https://media.guim.co.uk/35b34bdb27dc3b2f323ee1fc0a59466478b49f66/458_77_677_677/500.jpg","https://media.guim.co.uk/86b03195cadc202b0777e751cf586340071ca2f6/315_192_3132_1879/500.jpg","One of the world’s premier goalkeepers has slipped 21 places down the list in 2021, paying for some of the defensive disarray in front of him for club and country in the past year. Bayern conceded an uncharacteristically high 44 goals in 34 games on the way to the Bundesliga title, but it would have been many more without Neuer’s interventions. He was frequently stranded during the Euros too, and will be expected to charge off his line plenty with Hansi Flick in charge of the national team. There is no further debate, however, over his position for Bayern or Germany.","Andy Brassell"
37,NA,"Re-entry","Marco Verratti","Midfielder","CENTRE","Paris Saint-Germain","France",29,"Italy","https://media.guim.co.uk/346702d49ed8de5c39a97371930ed04e39171492/354_24_800_800/500.jpg","https://media.guim.co.uk/fbf5019cbb3f86a810c9735c7ccc5aa0b5087142/0_71_2205_1324/500.jpg","“Paris has given me everything,” the Italian proclaimed in October – but it’s his own contribution to the club that is beyond measure. Having missed much of the year through Covid-19 and injury, his importance as an enabler for PSG’s panoply of attacking talent was all the more evident in his absences this year. But it was on the international stage that Verratti finally gained his due recognition this year, where he was instrumental to Italy’s Euro 2020 triumph. Standout performances against Belgium and England saw him deploy his range of passing and line-breaking to full effect, as the midfield made the difference for the Azzurri. A well-deserved return to this list.","Raphaël Jucobin"
