"Rank","Last.year","Up.or.down","Name","Position","Club.on.1.Dec.2021","League","Age.on.1.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile"
23,"30","7","Kadidiatou Diani","Forward","PSG","D1 Arkema",26,"France","https://media.guim.co.uk/c57ef9f4580c63d5058bd664b509b57134aa3e7e/691_200_1032_1031/500.jpg","https://media.guim.co.uk/eebccb5eb8620bea280ac86ea1e642c2e0288c46/147_244_3100_1861/500.jpg","Named on the Ballon d’Or shortlist, the winger enjoyed another strong year and continued to cause chaos for opponents. Her presence for PSG was sorely missed in the Champions League semi-final against Barcelona. With her ability to ghost past players, Diani has become one of the most frightening wingers to play against in the world and her role in the PSG attack helped them finally get their hands on a domestic league title in 2021."
24,"35","11","Kosovare Asllani","Forward","Real Madrid","Primera Iberdrola",32,"Sweden","https://media.guim.co.uk/18c19c6a81127b60929ea7b8257530529ea4e7be/894_74_1263_1263/500.jpg","https://media.guim.co.uk/da6b368c25029b69a0beb71a065c8b1537dca2a1/0_53_3570_2142/500.jpg","Asllani’s performances, particularly in Tokyo for Sweden, deserved a gold medal that never came and she was at her best in the final against Canada. She had offered a warning sign of what to expect with a dominant performance against the world champions, USA, and showed that she is still at the top of her game, while playing a valuable role for Real Madrid too. Sadly, a positive Covid-19 test and subsequent ligament injury have meant we haven’t seen too much of the Swede since the summer."
25,NA,"Re-entry","Ellen White","Forward","Manchester City","Barclays FA Women's Super League",32,"England","https://media.guim.co.uk/f78c753504ce9d0278c64a1835965274250ba982/1231_206_1174_1174/500.jpg","https://media.guim.co.uk/4f673599221157ff7c15becad8d12c2a6966af76/224_69_1355_813/500.jpg","White surpassed Kelly Smith's all-time scoring record for England in a positive year in front of goal for club and country. White’s position in the rankings this year though will owe much to the six goals she scored for Team GB in Tokyo, where a hat-trick against Australia would have almost single-handedly dragged her side into the semi-finals had it not been for a late collapse. Has been in the goals consistently all year."
26,"41","15","Lina Magull","Midfielder","Bayern Munich","FLYERALARM Frauen-Bundesliga",27,"Germany","https://media.guim.co.uk/7a5a0f309f25e6b74b7cdb147656f7120c6d4e2c/1575_0_1376_1376/500.jpg","https://media.guim.co.uk/71c32af93832a0e0afc6069eef7dea23f4148ec3/0_649_3788_2273/500.jpg","The Germany playmaker often goes unnoticed at awards season but she places higher than ever before this year. One of the most creative players in Europe, Magull is at the source of many attacks for both her country and Bayern Munich, her five goals and six assists one of the key reasons Jens Scheuer’s side were finally able to end Wolfsburg’s dominance in Germany. A fine year from a fine player who continues to improve."
27,"13","-14","Debinha","Forward","North Carolina Courage","NWSL",30,"Brazil","https://media.guim.co.uk/728f3c05e5132928188e15836a1ea50400b19574/830_168_626_625/500.jpg","https://media.guim.co.uk/0e5ba87ce2e8c7d5ee7c184fd1a49fd4cd81fdde/0_47_4985_2990/500.jpg","The brilliant Brazilian remains one of the best around with the ball at her feet, able to manipulate defenders with footwork and an eye for goal. Debinha hit double figures for Brazil over the past 12 months, with goals in the SheBelieves Cup and at the Tokyo Olympics. At club level she started the year in fine form, ending the NWSL Challenge Cup as the top scorer and scored another three in the regular season despite North Carolina Courage having a below-par season by their usual standards. She remains one of the best in her position anywhere in the world."
28,"36","8","Kadeisha Buchanan","Defender","Lyon","D1 Arkema",26,"Canada","https://media.guim.co.uk/30fc1339b03c049abce064f0d2a08250c7661531/2236_277_1014_1014/500.jpg","https://media.guim.co.uk/5be171cd2d90479387bf4fcf30092f8119cb8c8e/0_171_3500_2100/500.jpg","Griedge Mbock’s injury allowed Buchanan a prolonged chance to show her talent alongside Wendie Renard despite the year not going how Lyon would have wanted, but it was at international level where Buchanan’s biggest success came, as she played a key role in helping Canada to Olympic gold. While solid at the back, Buchanan likes to break out from defence and link with her midfield and attack and is more than comfortable going for goal, as a recent stunning volley against Guingamp in France showed. Now rated as one of the best defenders around."
29,"87","58","Patri Guijarro","Midfielder","Barcelona","Primera Iberdrola",23,"Spain","https://media.guim.co.uk/e190130738f78023998182a1eba71f81eb0e3d00/512_79_639_639/500.jpg","https://media.guim.co.uk/4e442fa33ed4e767968d631d23796a905cefbb80/689_43_2429_1458/500.jpg","As the years go by, Guijarro will be a name to watch when it comes to end of season awards as the 23-year-old just misses out on a spot in the top 20. She didn’t always start in Barcelona’s treble-winning campaign but she is a major talent – composed on the ball and an important part of why the team works; the same goes for her role in the national team. Able to pop up with a goal from time to time too, Guijarro continues to grow as a player and is earning increasing recognition for her performances."
30,NA,"Re-entry","Rose Lavelle","Midfielder","OL Reign","NWSL",26,"USA","https://media.guim.co.uk/7f97a60f636897fc3e866bba3da3f97166e20489/1003_48_1052_1052/500.jpg","https://media.guim.co.uk/ed23eaa8c18ca31899157a0675a06636111a23a3/0_175_5568_3341/500.jpg","Despite three goals in the space of a couple of months at the back end of last year, Lavelle’s time at Manchester City did not go as planned, but she has returned to the USA with OL Reign in good form and become an important part of an already stellar squad under Laura Harvey. She has barely missed a minute since returning after the Olympics and remained a key part of the USA side too, scoring six goals from midfield in 2021. Often mesmerising with the ball at her feet, Lavelle is one of the easiest on the eye players to watch anywhere in the world and there are few who get around the pitch like her."
31,NA,"New entry","Mariona Caldentey","Forward","Barcelona","Primera Iberdrola",25,"Spain","https://media.guim.co.uk/20f67530e8fddc9d2ac2afc89f80121654dff31b/682_158_708_708/500.jpg","https://media.guim.co.uk/882da7015367447c1dc17b2bc8b860691c580a2f/0_129_3000_1800/500.jpg","It’s no easy task fighting your way into a Barcelona attack that already houses Lieke Martens, Jenni Hermoso and Asisat Oshoala, yet Caldentey still ended last season with 13 goals and nine assists and played a big part in her team’s success. The No 9 is already off the mark with five goals this season and the homegrown Barcelona star is approaching her peak years in top form, culminating in her first appearance in the top 100. She’s also recently hit six goals in three World Cup qualifiers for her country (chk). One to watch at next year’s European Championships."
32,"33","1","Asisat Oshoala","Forward","Barcelona","Primera Iberdrola",27,"Nigeria","https://media.guim.co.uk/9f7830b8d761576ee6dd6a7a6c0ffd1aac8aabf0/503_227_951_951/500.jpg","https://media.guim.co.uk/32b132188639bc905f8d448a66f60334594fbc3b/368_72_3163_1898/500.jpg","Oshoala may have been outshone by a couple of her teammates but her goalscoring record for Barcelona in 2021 deserves praise. She ended last season with 18 goals in 26 games in the league and had 11 in nine by the end of November this season. Add that to important Champions League goals in both legs against Manchester City this season and another against former club Arsenal more recently and it's clear that Oshoala is adding a ruthlessness to her game. She is now up there with Europe’s top strikers."
33,"81","48","Hanna Glas","Defender","Bayern Munich","Frauen Bundesliga",28,"Sweden","https://media.guim.co.uk/86d200cfacdd7a27a061ad1c4cfbdde83fef12b7/1494_444_980_980/500.jpg","https://media.guim.co.uk/b4bb574659a730cce4e131fab52d1e1e395c0b24/0_118_5184_3110/500.jpg","It has taken some time but Glas has finally this year become the highest ranked full-back in our list, surpassing Lucy Bronze. It is much deserved – for too long Glas has gone underappreciated despite her consistent presence in defence and her ability to get forward and help in attack. She was excellent for Sweden against the USA in Tokyo and has been a consistent source of assists for club and country, playing a key role in helping Bayern Munich win back their Bundesliga title from Wolfsburg."
34,"3","-31","Lucy Bronze","Defender","Manchester City","Barclays FA Women's Super League",30,"England","https://media.guim.co.uk/d8d04a1a2dc77f706fc28c646dee2c5a7e7c467b/1025_59_1362_1362/500.jpg","https://media.guim.co.uk/68cdc8427887bce89cac96abfcb8855864c752d0/0_140_3398_2039/500.jpg","Bronze drops out of the top 10 for the first time after a knee operation post-Olympics ended her 2021 prematurely. Many of Team GB’s goals in Tokyo came via Bronze’s runs down the right, her links with her clubmate Ellen White particularly fruitful. Her five assists last season after returning for Manchester City helped them to a strong second half of the season and she remains one of the best attacking full-backs in the game. Her presence for City has been sorely missed as she continues her recovery from injury."
35,"18","-17","Lindsey Horan","Midfielder","Portland Thorns","NWSL",27,"USA","https://media.guim.co.uk/6145ba26272d8588e93b6d8628c807187f3e9512/1510_204_2131_2131/500.jpg","https://media.guim.co.uk/aa6709ea1a7610b8b790fcef9a51981e3b49f824/0_77_4552_2731/500.jpg","The great Horan enjoyed another very good year, helping Portland Thorns to the NWSL Shield where she was always a goal threat for her side. Her ability to break forward and link with attacking teammates means she remains an important part of both her club side and the US national team – that she has been the No 10 recently for the latter after Carli Lloyd’s retirement shows the influence she has, and will continue to have."
36,"32","-4","Daniëlle van de Donk","Midfielder","Lyon","D1 Arkema",30,"Netherlands","https://media.guim.co.uk/24b45263f39ec42a5060d9fbdb3521aadd4694f8/1393_470_1559_1559/500.jpg","https://media.guim.co.uk/0b9dc0f737aebdd49402cc282f8c7c06580a942a/298_382_3861_2317/500.jpg","It was another really solid year for the Dutch midfielder who swapped Arsenal for Lyon in the summer, an endorsement of her talent in itself. Van de Donk led the assists charts at the Tokyo Olympics and was a constant source of creativity, while also happy to do the other side of the game and fight for her team in the middle of the park. She has been a regular for Lyon since her move, has already been on the scoresheet several times, and scored four in five games for her country in recent World Cup qualifiers."
37,"12","-25","Eugénie Le Sommer","Forward","OL Reign","NWSL",32,"France","https://media.guim.co.uk/2614da1c946d643592a833a838cdc6689288599b/2200_1001_1117_1117/500.jpg","https://media.guim.co.uk/f4ef28db7477cb551ce8285264ed24de5d1d71ea/47_262_2828_1697/500.jpg","Another of the Lyon superstars who briefly swapped France for the US this year, Le Sommer took to the NWSL like she had been there her whole career and played a huge role in OL Reign’s march to the NWSL play-offs. Not that she was in a slump before it, with four goals for Lyon at the end of last season. Her highlights though came in the US, with eight goals and three assists in her 18 appearances during her temporary stay. Le Sommer showed she has lost none of her ability and now returns to France with some fine form behind her."
38,NA,"Re-entry","Jessie Fleming","Midfielder","Chelsea","Barclays FA Women's Super League",23,"Canada","https://media.guim.co.uk/7352df868ed364f88808f0f8b69d68ed18a1d669/1189_127_679_679/500.jpg","https://media.guim.co.uk/66b288d45349992b12ca3c5b7537ecdeb003e13c/12_154_2850_1709/500.jpg","Fleming’s 2021 was defined by the Tokyo Olympics in the summer, where her composed performances in midfield didn’t necessarily go unnoticed, but were eclipsed by her composure from the penalty spot. She scored in the quarter-final shootout against Brazil, scored the decisive winner 15 minutes from time against the USA, and scored in both normal time and the shootout in the final against Sweden as Canada won gold.  Fleming has also just started to hold down a more regular starting role for Chelsea, so keep an eye on her in 2022."
39,"6","-33","Amandine Henry","Midfielder","Lyon","D1 Arkema",32,"France","https://media.guim.co.uk/6a4f59d5c85027141c930c8177e2490b152050b6/1375_129_1402_1402/500.jpg","https://media.guim.co.uk/7226347df22ba705a7c865181f170f576173b16a/438_515_3385_2030/500.jpg","Like several of Lyon’s mainstays over the years, Henry drops out of the top 10 for the first time since 2017, but she still showed her talent throughout the year despite PSG ending her side’s domestic dominance. She has a tendency for a big goal, as she showed only last month with a late header against Bayern Munich. There are still few finer box-to-box players anywhere in Europe and after signing a new deal she has plenty more to give in the next few years."
40,NA,"Re-entry","Lea Schüller","Forward","Bayern Munich","FLYERALARM Frauen-Bundesliga",24,"Germany","https://media.guim.co.uk/1bba242b64b42067eb3493830c95acbe6193a3ca/1875_104_1863_1864/500.jpg","https://media.guim.co.uk/0d9f48c0f14591710c428eca7e0ccb1584f003ac/0_108_3543_2126/500.jpg","Schüller not only returns to the 100 this year but flies straight back into the top 50 and there’s few arguments when looking at her impact in 2021. She ended last season with 16 goals, the most of any Bayern Munich player as they won the Bundesliga title and her seven this season see her lead the race for the golden boot already. At 24 she is one of the most fearsome strikers anywhere in Europe, and already has 11 goals for Germany in just six World Cup qualifiers, an incredible record by anyone’s standards."
41,"11","-30","Saki Kumagai","Midfielder","Bayern Munich","FLYERALARM Frauen-Bundesliga",31,"Japan","https://media.guim.co.uk/bdb8087f170b90130d41e8d9d47e32de52630b36/700_51_1537_1537/500.jpg","https://media.guim.co.uk/97ef50429a6b9fb984fc28311f6e9b5ca48bdcba/0_81_2596_1558/500.jpg","Kumagai made the move away from Lyon this year where she was always such a key component of the French side’s dominance. Joining German champions Bayern Munich in the summer, the Japanese superstar remains one of the classiest operators in the game whether it be in midfield or defence, and typically returned to haunt her former club with a late goal in a recent Champions League group stage tie. Kumagai remains one of the calmest with the ball at her feet and has already settled nicely into Bundesliga life."
42,"61","19","Leah Williamson","Defender","Arsenal","Barclays FA Women's Super League",24,"England","https://media.guim.co.uk/e9e0fabcc7675c72e676d37cb2be51b1dd057f29/756_76_1418_1418/500.jpg","https://media.guim.co.uk/fc8b0e4c337a78a30d08208f115cd147edf0696c/0_98_3561_2137/500.jpg","Williamson has progressively moved up the rankings in the past couple of years and it’s no shock she has again in 2021 as she once again blossomed for club and, even more so, country, where she is now holding down a regular starting spot at the heart of the England defence. A potentially significant hamstring injury has come at the worst time for a player who was named temporary England captain by Sarina Wiegman, but it hasn’t stopped Williamson enjoying a really good year and no doubt she will return in top form too."
43,NA,"Re-entry","Jess Fishlock","Midfielder","OL Reign","NWSL",34,"Wales","https://media.guim.co.uk/ae39cb19c3766134ea592becda379581174ea463/895_212_1528_1526/500.jpg","https://media.guim.co.uk/a1797518a723961783603e986067f2d1335153c4/0_91_3300_1982/500.jpg","After injury had robbed us of Fishlock’s talents, the Welsh midfielder bounced back this year in fine fashion, taking home the NWSL MVP award for her performances with OL Reign, where she was reunited with her former manager Laura Harvey. It’s no surprise they wanted her back early from her loan spell at Reading where she enjoyed a successful return to the WSL. She also scored a couple of candidates for goal of the year, with stunning efforts from long range. A player who really does have it all."
