"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2016","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2016","sheets.Sheet1.Nationality","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.To.be.subbed.by","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"11","9","-2","Sergio Agüero","Forward","Manchester City","England","28","Argentina","Argentinian, Premier League, Forwards","","","https://media.guim.co.uk/450913a0cf0ac8f174e747a82148819d19e45977/2015_112_1325_1325","cropRatio=1325,1325&size=140,500,1000,1325","https://media.guim.co.uk/feef01797d5ade86843bd84ec867ca0d11df1048/8_291_5444_3061","cropRatio=5444,3061&size=140,500,1000,2000,5444","","The Manchester City forward is one of the most dangerous attackers in the world, and not only <a href=""https://www.theguardian.com/football/2016/dec/09/chelsea-david-luiz-struggling-sergio-aguero-challenge"" >when David Luiz is around</a>. In a way his tendency to lose the run of himself when in proximity to Chelsea’s Brazilian defender highlights how cool he is normally, especially in the box, where he is as cold-blooded a predator as can be. His movement is brilliant and so is his ability to work space rapidly for a precise, powerful shot. He had the best goals-per-game ratio in the Premier League this year again, and was the second highest scorer in the Copa América.","Paul Doyle","100","√SM","RC","RC","NAm"
"12","31","19","Luka Modric","Midfielder","Real Madrid","Spain","31","Croatia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/57e61a3537497dddc0ba43f1fad75f8d38c311c5/907_363_825_825","cropRatio=825,825&size=140,500,825","https://media.guim.co.uk/d83f452c73c994782fe1564bc69c3f3421aaac0e/0_221_5351_3008","cropRatio=5351,3008&size=140,500,1000,2000,5351","","One of the most elegant players in Europe and the man who makes Real Madrid tick with his silkiness in possession. The midfielder was pivotal again as Real won the Champions League for the second time in three years, beating Atlético Madrid in the final in May, and he impressed during the Euros, <a href=""https://www.theguardian.com/football/2016/oct/13/leicester-loss-30m-ngolo-kante-chelsea-premier-league-champions-france"" >scoring a lovely volleyed winner</a> in their opener against Turkey. Croatia’s defeat to Portugal in the last 16 was a blow, but Modric has not let it affect him. Highly valued by Zinedine Zidane, he has risen 19 places after managing to avoid the kind of injuries that held him back last year.","Jacob Steinberg","100","√SM","NAm","NAm","TD"
"13","14","1","Kevin De Bruyne","Forward","Manchester City","England","25","Belgium","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/dcb036afada1fd76c088cb482cf03b17ae0c9a43/731_136_916_915","cropRatio=916,915&size=140,500,916","https://media.guim.co.uk/0ad5f380842663744bafd1eb67e34901fdf1f40d/0_63_4918_2765","cropRatio=4918,2765&size=140,500,1000,2000,4918","","The Belgian’s importance to Manchester City can be summed up by the way their form deteriorated when he injured his knee in January. City fell out of the title race and it was a mark of his quality that he showed no rustiness after his return to the side in April, sparking <a href=""https://www.theguardian.com/football/2016/apr/12/manchester-city-paris-saint-germain-champions-league-match-report"" >the Champions League quarter-final win against Paris Saint-Germain</a>. If there was one thing missing from his year, it was a better showing for Belgium at Euro 2016, but he has done well for his club. Although he has not been prolific this season, he has scored in wins against <a href=""https://www.theguardian.com/football/2016/nov/01/manchester-city-barcelona-champions-league-match-report"" >Barcelona</a> and <a href=""https://www.theguardian.com/football/2016/sep/10/manchester-united-manchester-city-premier-league-match-report"" >Manchester United</a>.","Jacob Steinberg","100","√SM","RC","RC","NAm"
"14","48","34","Gonzalo Higuaín","Forward","Juventus","Italy","29","Argentina","Argentinian, Serie A, Forwards","","","https://media.guim.co.uk/fc1d56354ccf94990d63220eaa64096bc663a032/1462_463_1180_1180","cropRatio=1180,1180&size=140,500,1000,1180","https://media.guim.co.uk/af92af8a45e3c39946ad8d730c9173420e1464d8/0_50_4395_2471","cropRatio=4395,2471&size=140,500,1000,2000,4395","","Armchair pundits poked fun at Higuaín after he showed up for his first pre-season with Juventus looking decidedly overweight, but you will not find many defenders who would dare do the same. The Argentinian <a href=""https://www.theguardian.com/football/2016/oct/13/leicester-loss-30m-ngolo-kante-chelsea-premier-league-champions-france"" >broke a 66-year-old record</a> by scoring 36 goals in Serie A last season – at an astonishing rate of one for every 82.3 minutes played. Juventus duly paid €90m (£75m) to trigger his release clause at Napoli, and if they did have any initial concerns about his conditioning, then those – just like his excess pounds – are rapidly melting away under a deluge of decisive strikes.","Paolo Bandini","100","√MC","NAm","NAm","TD"
"15","12","-3","Andrés Iniesta","Midfielder","Barcelona","Spain","32","Spain","Spanish, La Liga, Midfielders","","","https://media.guim.co.uk/1597af420fdedc6b7dacabe606d8ed4f1e735fe9/713_118_2553_2552","cropRatio=2553,2552&size=140,500,1000,2000,2553","https://media.guim.co.uk/0aeaea837db6a58f094777424dae614fd43bbc7a/3_170_4825_2713","cropRatio=4825,2713&size=140,500,1000,2000,4825","","Pep Guardiola <a href=""https://www.theguardian.com/football/2016/sep/07/pep-guardiola-andres-iniesta-barcelona-tactics-book-extract"" >says he “masters space and time”</a> and Luis Enrique describes him as “pure magic”, and <a href=""https://www.theguardian.com/football/2016/sep/06/barcelona-andres-iniesta-need-help-look-for-it"" >Andrés Iniesta</a> is now taking on responsibility for what Xavi used to do as well as what he still does. His return from injury recently was treated as the return of football itself, and no wonder. Even Lionel Messi says that when things are going wrong what he most wants is Iniesta closer to him. Luis Enrique admits that, at 32, he is protecting him now – because when it comes to the big games he is irreplaceable. His display in <a href=""https://www.theguardian.com/football/2016/may/22/barcelona-sevilla-copa-del-rey-match-report"" >the Copa del Rey final</a> was sublime.","Sid Lowe","100","√MC","RC","RC","NAm"
"16","","New","N'Golo Kanté","Midfielder","Chelsea","England","25","France","French, Premier League, Midfielders","","","https://media.guim.co.uk/aaa95654756ca755ff78f537fff8c03eb15c3795/1172_57_1423_1424","cropRatio=1423,1424&size=500,1000,1423","https://media.guim.co.uk/829b2c843bc08b2260f5e2006dfdd7deb2d029d5/8_327_5248_2951","cropRatio=5248,2951&size=140,500,1000,2000,5248","","Claudio Ranieri said that the Frenchman performed the role of two players during his one and only season at Leicester, which is why the club's fans dubbed him “the Kanté twins”. The nickname referred to a capacity to cover more ground than is possible for most players, tackling, intercepting and passing with incredible dynamism. His pivotal role in Leicester's progress to the title earned him a call-up to his national team – for whom he scored on his first start, against Holland in March. It later earned him <a href=""https://www.theguardian.com/football/2016/oct/13/leicester-loss-30m-ngolo-kante-chelsea-premier-league-champions-france"" >a transfer to Chelsea</a> and, as if that is not enough, the honour of being the highest new entry in this year's Top 100. The void in Leicester's midfield since his departure <a href=""https://www.theguardian.com/football/2016/oct/13/leicester-loss-30m-ngolo-kante-chelsea-premier-league-champions-france"" >bears eloquent testimony</a> to his ability.","Paul Doyle","125","√SM","NAm","NAm","TD"
"17","11","-6","Paul Pogba","Midfielder","Manchester United","England","23","France ","French, Premier League, Midfielders","","","https://media.guim.co.uk/6463deb9ab096af41645ca810977e313c2c8a90c/794_198_958_957","cropRatio=958,957&size=140,500,958","https://media.guim.co.uk/aa1cb039eb4a989121aa424be068f71c8c300300/4_247_5109_2873","cropRatio=5109,2873&size=140,500,1000,2000,5109","","Shortly after his 23rd birthday he won his fourth successive Serie A title, playing his most influential role yet for Juventus. He struck his highest league goal tally and finished the season as the league’s joint highest provider of assists. That led to him becoming the figurehead of France’s Euro 2016 campaign. He failed to live up to that billing but that did not put off Manchester United, who were so convinced of his talent that <a href=""https://www.theguardian.com/football/2016/aug/09/manchester-united-sign-paul-pogba-93-million-juventus"" >they paid a world-record transfer fee</a> to bring him back to Old Trafford. His influence there has grown as the season has advanced.","Paul Doyle","100","√SM","RC","RC","NAm"
"18","8","-10","Manuel Neuer","Goalkeeper","Bayern Munich","Germany","30","Germany","German, Bundesliga, Goalkeepers","","","https://media.guim.co.uk/6d25bc9b959aee1f0dadfd95f7caa99ad533b096/1830_50_1904_1904","cropRatio=1904,1904&size=140,500,1000,1904","https://media.guim.co.uk/817e84616e665170f2c0f82e3c7551d76e43032e/0_0_2991_1682","cropRatio=2991,1682&size=140,500,1000,2000,2991","","Neuer’s position as the world’s barely disputed supreme No1 may not quite be on as firm ground as last year but he is still the highest-placed goalkeeper on this list, and the highest-ranked German, even if the halo has dislodged ever so slightly. Now 30, the model sweeper-keeper is perhaps a more toned-down presence now but there remain few as good with the ball at their feet and few who can bail their team out so reliably with a reflex save, too. A few mistakes have crept in at home and abroad – Germany were already 1-0 down <a href=""https://www.theguardian.com/football/2016/jul/07/germany-france-euro-2016-match-report"" >against France in their Euro 2016 semi-final</a> when he pawed Paul Pogba’s cross to Antoine Griezmann but that put the game beyond them – but he had been their shoot-out hero <a href=""https://www.theguardian.com/football/2016/jul/02/germany-italy-euro-2016-match-report"" >against Italy a round previously</a>. He remains the best in the business.","Nick Ames","100","√MC","RC","RC","NAm"
"19","68","49","Jamie Vardy","Forward","Leicester City","England","29","England","English, Premier League, Forwards","","","https://media.guim.co.uk/456a221a6de59659a9cf690d3a8ae0dcfd769d52/1357_74_911_911","cropRatio=911,911&size=140,500,911","https://media.guim.co.uk/eb2e17e2c0e1b0257e405ad846dcf9a62766cf03/0_299_3496_1965","cropRatio=3496,1965&size=140,500,1000,2000,3496","","A non-league player with Stocksbridge Park Steels as a 23-year-old, Vardy capped an improbable rise to the upper echelons of his sport in a year when he spearheaded Leicester City's fairytale title win, <a href=""https://www.theguardian.com/football/2016/jun/16/england-wales-euro-2016-match-report"" >scored for England at Euro 2016</a> and made his Champions League debut. His autobiography revealed some rather unorthodox drinking habits and his pre-match port habit helped him score 24 Premier League goals as Leicester pulled off one of the greatest upsets in sporting history. He has found them harder to come by in recent months – although <a href=""https://www.theguardian.com/football/2016/dec/10/leicester-city-manchester-city-premier-league-match-report"" >a hat-trick against Manchester City this month</a> saw him back in business – and he may be ruing his decision to turn down a summer move to Arsenal.","Barry Glendenning","100","√MC","RC","NAm","TD"
"20","7","-13","Zlatan Ibrahimovic","Forward","Manchester United","England","35","Sweden","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/7a2b1863da73d1ac77785b0db4a789b466e0cdb4/1293_146_1158_1158","cropRatio=1158,1158&size=140,500,1000,1158","https://media.guim.co.uk/4dc7cf32eed86efb537aa81f4484ad281c4c55c0/3_92_3883_2183","cropRatio=3883,2183&size=140,500,1000,2000,3883","","He is 35 now, <a href=""https://www.theguardian.com/football/blog/2016/mar/21/gianluigi-buffon-clean-sheet-record-juventus-torino-sebastiano-rossi"" >the Swede</a>, but still the goals keep coming, His fourth season in France with Paris Saint-Germain was arguably his best and he set a new club record with an incredible 50 goals during the 2015-16 season. His first few months <a href=""https://www.theguardian.com/football/2016/jul/01/manchester-united-confirm-signing-of-zlatan-ibrahimovic-one-year-contract"" >at Manchester United</a> have been mixed: he got off to a flying start with five goals in his first five games but then struggled for form. However, by 15 December he had scored 14 goals (nine more than the second-highest scorer, Juan Mata). He drops 13 places on the list, perhaps partly because he did not have a good Euro 2016.","Marcus Christenson","100","√SM","NAm","NAm","TD"
"21","35","14","Toni Kroos","Midfielder","Real Madrid","Spain","26","Germany","German, La Liga, Midfielders","","","https://media.guim.co.uk/aebec5dd9c2a69be127ca11e021a6746bbae0cc8/1560_0_1155_1155","cropRatio=1155,1155&size=140,500,1000,1155","https://media.guim.co.uk/c7aa63ddd20656ca0fb173ad365a0974d2d949f5/4_92_4396_2471","cropRatio=4396,2471&size=140,500,1000,2000,4396","","Kroos has seemed like a man liberated since the insertion of Casemiro, the defensive midfielder, into Zinedine Zidane’s Real Madrid side. He did not start particularly well at the Bernabéu after arriving in 2014, often finding himself foraging much closer to his own defence than he would like, but having protection behind him has allowed him to rediscover his groove. Kroos is at his best when allowed to move upfield and set the tempo of a contest with a dazzling range of passes; on top form there are few more compelling all-round midfielders in the sport and renewed evidence of that is the reason for this year’s move back up the charts.","Nick Ames","100","√MC","RC","RC","NAm"
