"No","Name","Position","Club","Nationality","Age.at.Dec.20.2012"
"34","Mario Götze","Midfielder/forward","Borussia Dortmund","Germany","20"
"35","Karim Benzema","Forward","Real Madrid","France","24"
"36","Cesc Fabregas","Midfielder","Barcelona","Spain","25"
"37","Oscar","Midfielder","Chelsea","Brazil","21"
"38","Fernandinho","Midfielder","Shakhtar Donetsk","Brazil","27"
"39","Javier Mascherano","Defender/midfielder","Barcelona","Argentina","28"
"40","Gareth Bale","Defender","Tottenham","Wales","23"
"41","Javier Zanetti","Defender/midfielder","Internazionale","Argentina","39"
"42","Daniele De Rossi","Midfielder","Roma","Italy","29"
"43","Dani Alves","Defender","Barcelona","Brazil","29"
"44","Petr Cech","Goalkeeper","Chelsea","Czech Republic","30"
"45","Mats Hummels","Defender","Borussia Dortmund","Germany","24"
"46","Carles Puyol","Defender","Barcelona","Spain","34"
"47","Angel Di Maria","Midfielder","Real Madrid","Argentina","24"
"48","Carlos Tevez","Forward","Man City","Argentina","28"
"49","Didier Drogba","Forward","Shanghai Shenhua","Ivory Coast","34"
"50","Giorgio Chiellini","Defender","Juventus","Italy","28"
"51","Marcelo","Defender","Real Madrid","Brazil","24"
"52","Stephan El Shaarawy","Forward","Milan","Italy","20"
"53","Toni Kroos","Midfielder","Bayern Munich","Germany","22"
"54","Samuel Eto’o","Forward","Anzhi Makhachkala","Cameroon","31"
"55","Jordi Alba","Defender/midfielder","Barcelona","Spain","23"
"56","Mario Gomez","Forward","Bayern Munich","Germany","27"
"57","Arturo Vidal","Midfielder","Juventus","Chile","25"
"58","Eden Hazard","Midfielder","Chelsea","Belgium","21"
"59","James Rodriguez","Midfielder","Porto","Colombia","21"
"60","Marouane Fellaini","Midfielder","Everton","Belgium","25"
"61","Ramires","Midfielder","Chelsea","Brazil","25"
"62","David Villa","Forward","Barcelona","Spain","31"
"63","Klaas Jan Huntelaar","Forward","Schalke","Netherlands","29"
"64","Nemanja Vidic","Defender","Man Utd","Serbia","31"
"65","Joe Hart","Goalkeeper","Man City","England","25"
"66","Arjen Robben","Midfielder/forward","Bayern Munich","Netherlands","28"
"67","Mario Balotelli","Forward","Man City","Italy","22"
"68","Mathieu Valbuena","Midfielder","Marseille","France","28"
"69","Pierre-Emerick Aubameyang","Forward","St Etienne","Gabon","23"
"70","Robert Lewandowski","Forward","Borussia Dortmund","Poland","24"
"71","Hernanes","Midfielder","Lazio","Brazil","27"
"72","Pedro","Forward","Barcelona","Spain","25"
"73","Santi Cazorla","Midfielder","Arsenal","Spain","28"
"74","Christian Eriksen","Midfielder","Ajax","Denmark","20"
"75","Ezequiel Lavezzi","Forward","PSG","Argentina","27"
"76","Joao Moutinho","Midfielder","Porto","Portugal","26"
"77","Mario Mandžukić","Forward","Bayern Munich","Croatian","26"
"78","Patrice Evra","Defender","Man Utd","France","31"
"79","David Luiz","Defender","Chelsea","Brazil","25"
"80","Luka Modric","Midfielder","Real Madrid","Croatia","27"
"81","Victor Wanyama","Defender/midfielder","Celtic","Kenya","21"
"82","Mapou Yanga-M'Biwa","Defender","Montpelier","France","23"
"83","Hulk","Forward","Zenit St Petersburg","Brazil","26"
"84","Darijo Srna","Midfielder","Shakhtar Donetsk","Croatia","30"
"85","Emmanuel Mayuka","Forward","Southampton","Zambia","22"
"86","John Terry","Defender","Chelsea","England","32"
"87","Kwadwo Asamoah","Midfielder","Juventus","Ghana","24"
"88","Leonardo Bonucci","Defender","Juventus","Italy","25"
"89","Javier Pastore","Midfielder","PSG","Argentina","23"
"90","Henrikh Mkhitaryan","Midfielder/forward","Shakhtar Donetsk","Armenia","23"
"91","Moussa Dembele","Midfielder","Tottenham","Belgium","25"
"92","Hatem Ben Arfa","Midfielder/forward","Newcastle","France","25"
"93","Samir Nasri","Midfielder","Man City","France","25"
"94","Shinji Kagawa","Midfielder","Man Utd","Japan","23"
"95","Wesley Sneijder","Midfielder","Internazionale","Netherlands","28"
"96","Pepe","Defender","Real Madrid","Portugal","29"
"97","Marek Hamsik","Midfielder","Napoli","Slovakia","25"
"98","Javi Martinez","Defender/midfielder","Bayern Munich","Spain","24"
"99","Diego Forlan","Forward","Internacional","Uruguay","33"
"100","Paulinho","Midfielder","Corinthians","Brazil","24"
