"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2020","sheets.players.League","sheets.players.Age.on.1.Dec.2020","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"11","31","20","Saki Kumagai","Midfielder","Lyon","Division 1 Féminine","30","Japan","Other nationalities, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/f594638e08e955ce723e5edcc2913296aa7ec733/1346_0_1792_1793","cropRatio=1792,1793&size=500,1000,1792","https://media.guim.co.uk/853342d04f60837d01c71b5a0a2ce87071895198/0_64_3245_1948","cropRatio=3245,1948&size=140,500,1000,2000,3245","","Kumagai moves up to the verge of the top 10 (and actually scored the same number of points as our 10th placed player), showing just how appreciated her performances in 2020 have been. The Japan midfielder is one of the world's top passers and the way she shields the defence is vital to her team. Whether it’s interceptions, duels, recoveries or her pass completion, Kumagai ranks highly for just about everything, and her performance in the Champions League final was a joy to behold. Kumagai was everywhere as she helped Lyon win yet another title, her superb finish from the edge of the box the cherry on the cake for one of Asia’s greatest players.","RL","","","JA","TD","header-image-day-1_alligator.png"
"12","10","-2","Eugénie Le Sommer","Forward","Lyon","Division 1 Féminine","31","France","French, Division 1 Féminine, Forwards","","","https://media.guim.co.uk/337f5a594dbde60fee388131cc460d36aea47252/1753_66_1750_1750","cropRatio=1750,1750&size=140,500,1000,1750","https://media.guim.co.uk/80e0de774313b4b42803c915e22f88d5df21f8a3/0_215_3097_1858","cropRatio=3097,1858&size=140,500,1000,2000,3097","","The leading scorer in Lyon's history ranks outside the top 10 for the first time since 2017 but she’s still enjoyed a relatively stellar year. Her goals and assists aside, Le Sommer’s creative work can sometimes go unnoticed and underappreciated, often playing second fiddle to a Lyon attack built around Ada Hegerberg. With Hegerberg out injured, Le Sommer started the new season with three goals for her club and seven more for her national team, including a four-goal haul in a recent qualifier against North Macedonia. As she often does, Le Sommer popped up in the biggest of games to give her side a vital lead in the Champions League final against Wolfsburg.","RL","","","JA","TD","header-image-day-1_alligator.png"
"13","22","9","Debinha","Forward","North Carolina Courage","NWSL","29","Brazil","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/011305700c1091b3f4f41a1d5ecf62cce89cf490/1637_69_1306_1306","cropRatio=1306,1306&size=140,500,1000,1306","https://media.guim.co.uk/0e1014259c56e0d2796cf6f9a2e5f644e344c135/0_105_4000_2401","cropRatio=4000,2401&size=140,500,1000,2000,4000","","The heir to Marta? At 29 the Brazilian, who reaches her highest ranking in this list, is already hugely experienced but is the player taking over as Brazil’s key creative influence? She enjoyed a solid Challenge Cup before going on to score four goals in two games during the Fall Series, firing more shots on target than any other player. Skilful and with a vision few others are lucky to possess, Debinha also has four goals in her last couple of national team games. Her performances over the past few years have increasingly put Debinha the middle of the discussion when it comes to best players in the world.","RL","","","JA","TD","header-image-day-1_alligator.png"
"14","25","11","Jenni Hermoso","Forward","Barcelona","Liga Iberdrola","30","Spain","Spanish, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/9088c55f9eacc61ea7a0b0afc033ef35735f6001/730_0_1269_1269","cropRatio=1269,1269&size=140,500,1000,1269","https://media.guim.co.uk/dce412b5c0340a1564f51a05619b6f16e730706c/0_252_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","Twenty-three goals last season in 19 league games go some way to explaining why Hermoso has fast become one of the top strikers in the world and this year records her highest ranking in this list. How many she could have got had last season not been called to an early halt is anyone’s guess. Hermoso scored twice in her first two starts for Barcelona this season and also grabbed a recent hat-trick for Spain. The really scary thing for defenders is she’s almost as good at creating for others, registering six assists for Barcelona during the year, a lethal but perfect combination.","RL","","","JA","TD","header-image-day-1_alligator.png"
"15","38","23","Sam Mewis","Midfielder","Manchester City","WSL","28","USA","American, WSL, Midfielders","","","https://media.guim.co.uk/bc10b07bdfa641ba3c3ee905dd327c1589ed41d5/1502_35_1417_1417","cropRatio=1417,1417&size=140,500,1000,1417","https://media.guim.co.uk/f0751bfe7a849c9ae852b4190d90767f1eeafd3d/0_147_3982_2390","cropRatio=3982,2390&size=140,500,1000,2000,3982","","If there’s a midfielder who covers as much ground as Mewis does, we’d like to see them. Her attacking and defensive qualities make her the ideal box-to-box midfielder and she has slotted into life in Manchester like she’s been there her whole career. Already in key games she has outshone some of the best midfielders around, able to stride forward with ease and both start and finish attacks for her team. She scored in the FA Cup semi-final and final to pick up her first trophy in England while back in the US she continued to be a star for the national team. Mewis rightly ranks as one of the top midfielders for 2020 and comes in at her best ranking yet.","RL","","","JA","","header-image-day-1_alligator.png"
"16","58","42","Ji So-yun","Midfielder","Chelsea","WSL","29","South Korea","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/10327cd2cc710da607536312531fd1d538c2d7aa/1568_67_1593_1594","cropRatio=1593,1594&size=500,1000,1593","https://media.guim.co.uk/db2d5c9a4bafc8eb0c54ac7d89fc9f8a1c08d6c5/113_25_1404_842","cropRatio=1404,842&size=140,500,1000,1404","","There is not a lot left to be said about Ji for those who watch the WSL regularly. Over the course of six years she has been a pivotal figure for Chelsea and shows no signs of stopping, reaching her highest ranking in this list. While Ji is more than capable of providing goals, having scored three for both Chelsea and South Korea at the start of the year, it is her creative skills that set her apart. Her vision shines through on the pitch and there’s no doubting she is up there with the most intelligent players around, but somewhat surprisingly she ranks second in Europe for tackles won in 2020, showing she has a strong defensive side to her game.","RL","","","JA","TD","header-image-day-1_alligator.png"
"17","21","4","Amel Majri","Midfielder","Lyon","Division 1 Féminine","27","France","French, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/14700c7a3605001bf7b5e22bb5ac099a71d8fd8e/838_84_1051_1052","cropRatio=1051,1052&size=500,1000,1051","https://media.guim.co.uk/9009dc769fbd7c25fd40952384d2054da6a83463/0_80_4289_2573","cropRatio=4289,2573&size=140,500,1000,2000,4289","","There’s every argument to be made that Majri has performed at a high enough level now for several years to be called the best left winger in the world. Sakina Karchaoui’s arrival at Lyon has allowed Majri to fully concentrate on her attacking duties, having previously often been called upon to fill in at full-back. Quick and skilful, a great passer and a great crosser, Majri has all the necessary qualities to make her a deadly winger. By the start of December she already had three assists for Lyon this season and is capable of chipping in with goals, scoring five through the year. After finishing 21st and 22nd in the last two years, Majri finally breaks into our top 20.","RL","","","JA","TD","header-image-day-1_alligator.png"
"18","27","9","Lindsey Horan","Midfielder","Portland Thorns","NWSL","26","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/b2cffec08c16e4f25ae38f7476e067d98294db79/2056_419_888_888","cropRatio=888,888&size=140,500,888","https://media.guim.co.uk/d9842cfc2a21b0ff734e652333f136dd7fa56314/271_442_3537_2123","cropRatio=3537,2123&size=140,500,1000,2000,3537","","There’s a reason Horan is affectionately known in the US as ""The Great Horan"". Her stature and physicality make her a formidable opponent and that’s before getting to her technical skills. She was one of the USA’s most creative forces in 2020, conjuring 10 key chances for her teammates but she didn’t shirk away from chipping in herself, seven goals making her the joint highest for the No 1 ranked team this year. It’s not just for country where she impressed either, ranking as one of the most creative players at club level too despite a reduced schedule with the Thorns. Horan opted to play in both the Challenge Cup and Fall Series and remained a key player for the Thorns in both, making her way back into the top 20 in this list with her impressive performances.","RL","","","JA","TD","header-image-day-1_alligator.png"
"19","23","4","Alex Popp","Forward","Wolfsburg","Frauen Bundesliga","29","Germany","German, Frauen Bundesliga, Forward","","","https://media.guim.co.uk/ad6d987c14693ba1170aeb722b0994541547656e/1403_0_2259_2259","cropRatio=2259,2259&size=140,500,1000,2000,2259","https://media.guim.co.uk/6d00ef7afb61ac47f2e4e2e962acb1d87a4afd70/0_214_4849_2910","cropRatio=4849,2910&size=140,500,1000,2000,4849","","Popp started the year in a rich vein of scoring form and continued the trend after the Bundesliga restarted during the summer, adding three more goals to take her tally into double figures and help Wolfsburg coast to another title. Her goal in the Champions League final was not enough to topple an unstoppable Lyon side, but Popp’s eye for goal is just an added bonus. She has a real match intelligence of where to be on the pitch and when. As a player who can combine striker duties with being in midfield, Popp knows when to sit deep and when to attack the box. Her stature and aerial ability saw her win the most aerial duels in midfield in the Champions League and she continues to be one of the key figures for both Wolfsburg and Germany.","RL","","","JA","TD","header-image-day-1_alligator.png"
"20","75","55","Marie-Antoinette Katoto","Forward","PSG","Division 1 Féminine","22","France","French, Division 1 Feminine, Forwards","","","https://media.guim.co.uk/63a56a2df37585a935fedd383c9b91e80be86220/183_0_2130_2130","cropRatio=2130,2130&size=140,500,1000,2000,2130","https://media.guim.co.uk/e08e4fd7a5300f646a159ee78c975ab3f2f4a1ef/0_39_2432_1460","cropRatio=2432,1460&size=140,500,1000,2000,2432","","Defenders should be worried that Katoto is only 22 because she is already fast becoming one of the best strikers in the world, jumping 55 places this year into the top 20. With pace to burn, Katoto is already well on her way to scoring double figures for a fourth consecutive season after only nine games. Eight goals at the start of the year and another eight in nine games at the start of this season puts her up there with the best forwards in the world, her recent strike for PSG that condemned Lyon to a rare defeat the highlight. She has scored doubles in three games in quick succession for France and it really does look like the sky is the limit.","RL","","","JA","TD","header-image-day-1_alligator.png"
"21","18","-3","Crystal Dunn","Forward","Portland Thorns","NWSL","28","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/37cbc7978ecd952495ee91063a0a651d85995e51/1331_64_1564_1565","cropRatio=1564,1565&size=500,1000,1564","https://media.guim.co.uk/954aeb3aa09ebd3314be13d7d9ab060db0de5d20/561_538_3439_2064","cropRatio=3439,2064&size=140,500,1000,2000,3439","","Dunn has it all and is one of a few players who can jump between defensive and attacking roles for club and country. Her importance to North Carolina Courage was evident as ever during the Challenge Cup, her desire and drive to get forward with her natural attacking instincts making her a key outlet. For the USA, Dunn has continued to be used in a left-back role under Vlatko Andonovski and has been part of a team that have conceded just one goal all year. One of the best at taking on opponents, a new challenge awaits Dunn in 2021 after being traded to Portland Thorns.","RL","","","TD","JA","header-image-day-1_alligator.png"
"22","24","2","Christiane Endler","Goalkeeper","PSG","Division 1 Féminine","29","Chile","Other nationalities, Division 1 Feminine, Goalkeepers","","","https://media.guim.co.uk/62cd28ba25ee5d64126991ff32ec80fb64994580/2761_166_2305_2306","cropRatio=2305,2306&size=500,1000,2000,2305","https://media.guim.co.uk/307cc6809dd21d385785fccd200f3223943d3575/0_215_5000_3002","cropRatio=5000,3002&size=140,500,1000,2000,5000","","After a 2019 in which Endler announced herself to the world with some stunning performances at the World Cup, there’s every argument to be made that she solidified her reputation as one of the best goalkeepers around in 2020. At the time of writing Endler has kept 12 clean sheets during the year and is on a stunning run with PSG of eight games without conceding, marshalling her defence and ensuring her reflexes are as sharp as ever when called upon. She’s also superb with her feet, with the best passing accuracy of any goalkeeper, but also one of the best save percentages. Chile’s keeper is right up there as the No 1 of No 1s.","RL","","","TD","JA","header-image-day-1_alligator.png"
"23","62","39","Alexia Putellas","Midfielder","Barcelona","Liga Iberdrola","26","Spain","Other nationalities, Liga Iberdrola, Midfielders","","","https://media.guim.co.uk/bed8344066ccae671bc5daf9ccce3ef40700e74c/1612_99_722_722","cropRatio=722,722&size=140,500,722","https://media.guim.co.uk/457145975fe474b1e1b52b1cb51b086678eae250/282_121_2641_1585","cropRatio=2641,1585&size=140,500,1000,2000,2641","","After two years outside the top 50, Putellas makes a big jump this year after a superb 2020. There is no doubt she is now one of the best midfielders anywhere in the world, with the ability to dominate but also get forward and contribute directly herself. While she ranks as one of the best for creating chances for others, no other centre midfielder had more shots on target than the Barcelona player during 2020. Putellas has a bit of everything and consistently chips in with goals too, already hitting four this season as well as registering a couple of assists. A key player for Spain too, Putellas really could become one of the very best over the coming years.","RL","","","TD","JA","header-image-day-1_alligator.png"
"24","52","28","Sara Björk Gunnarsdóttir","Midfielder","Lyon","Frauen Bundesliga","30","Iceland","Other nationalities, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/b99958621b07a94837ebc3e1932c4959d5c7e0e1/751_92_738_738","cropRatio=738,738&size=140,500,738","https://media.guim.co.uk/b270f103d17ce21060a3897b46787da6e9b367d9/0_134_5159_3097","cropRatio=5159,3097&size=140,500,1000,2000,5159","","Gunnarsdóttir enjoyed another superb year, with an interesting twist. After leaving Wolfsburg for Lyon in the summer, the delayed Champions League resumption ensured she didn’t just get to face her former club in August’s final, but she scored the final goal against them too. But the odd goal is just a bonus for Iceland’s key player because there are few more intelligent midfielders than her. Her reading of the game and ability to position herself to break up play and dictate her midfield sets her aside from most and she rightfully again sits highly placed in the 100.","RL","","","TD","JA","header-image-day-1_alligator.png"
"25","77","52","Magdalena Eriksson","Defender","Chelsea","WSL","27","Sweden","Swedish, WSL, Defenders","","","https://media.guim.co.uk/f210da2ad6b58c5d9ca2a48c209eebf48aeb8e4a/1852_93_1334_1334","cropRatio=1334,1334&size=140,500,1000,1334","https://media.guim.co.uk/16f5b7f0590b95f667a52eeba312c73d9925ff17/133_0_2865_1718","cropRatio=2865,1718&size=140,500,1000,2000,2865","","The Chelsea captain is now one of the best defenders in the world and makes a big jump up the rankings to show for it. Recently voted Sweden’s defender of the year, Eriksson led Chelsea to a league and cup double last season and rarely put a foot wrong. Aside from being a solid defender, she’s comfortable on the ball and one of the best passers in the WSL, certainly among defenders. She was rock solid in the recent big match against Arsenal and it’s no surprise to see her consistently spoken about as one of the best in the world.","RL","","","TD","JA","header-image-day-1_alligator.png"
"26","89","63","Beth England","Forward","Chelsea","WSL","26","England","English, WSL, Forwards","","","https://media.guim.co.uk/ab24acf52b78c391508bb71a61d0cac7fcf575f1/263_24_2294_2295","cropRatio=2294,2295&size=500,1000,2000,2294","https://media.guim.co.uk/4360cc469ffdc97230256191ffe36a7fa75a943c/0_51_5028_3018","cropRatio=5028,3018&size=140,500,1000,2000,5028","","It’s fair to say 2020 couldn’t have started any better for a striker who popped into the top 100 for the first time only last year, but whose performances earn a rightful jump to the edge of the top 25. England couldn’t do wrong before Covid-19 halted the schedule, scoring eight league goals in the first two months of the year, including an incredible strike in the title-deciding match against Manchester City. She also grabbed both goals, including a stoppage-time winner, when Chelsea won the Continental Cup final. Key additions to the Chelsea team over the summer mean she hasn’t started every game this season, but has still found the net several times and worked her way towards become a regular for the Lionesses. Overall, a year to be proud of.","RL","","","TD","JA","header-image-day-1_alligator.png"
"27","36","9","Ewa Pajor","Forward","Wolfsburg","Frauen Bundesliga","23","Poland","Other nationalities, Frauen Bundesliga, Forwards","","","https://media.guim.co.uk/87ceec164cdd89496c3673888878b5f5d04a7eb3/1259_111_2325_2325","cropRatio=2325,2325&size=140,500,1000,2000,2325","https://media.guim.co.uk/72e528584309cb2a29071af777e3c17d3370a37f/0_155_4292_2577","cropRatio=4292,2577&size=140,500,1000,2000,4292","","It’s no surprise to see Pajor ranked so highly again and it could have been higher had her year not been curtailed by injury. Pajor still featured enough and played well enough to reach the top 30. Nine goals between December 2019 and the season's end after the restart in June made her one of the top scorers once again in Germany, and Pajor is continuing to grow into one of the world’s best. She scored five goals in two games for Poland at the start of the year and, given she’s still only 24, many will wonder just how good the striker is going to become when she returns from injury.","RL","","","TD","JA","header-image-day-1_alligator.png"
"28","34","6","Kim Little","Midfielder","Arsenal","WSL","30","Scotland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/2205c4d3402c46c22f6bcbd709fe10a065407344/1010_325_1579_1579","cropRatio=1579,1579&size=140,500,1000,1579","https://media.guim.co.uk/a5fe14b00a1948df0489b60b5c7d309d5792cf77/0_105_3792_2276","cropRatio=3792,2276&size=140,500,1000,2000,3792","","Arsenal’s Little continues to be one of the best at what she does, making the difficult look easy. She may not have eye-catching goal statistics, but the Scotland international continues to influence and control games, chipping in with goals and assists on a regular basis. Little has adapted her game to sit and control, she sees pockets and opportunities to play passes others wouldn’t, and it’s why she is still ranked as one of the best in the world in her position. Sadly, she couldn’t help Scotland to a third successive major tournament, but she surely still has plenty to give for her country and continues to be a key player for her club.","RL","","","TD","JA","header-image-day-1_alligator.png"
"29","19","-10","Lieke Martens","Forward","Barcelona","Liga Iberdrola","27","Netherlands","Dutch, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/0d54c9e15c139b2419440687abda62019680e5af/1723_124_931_931","cropRatio=931,931&size=140,500,931","https://media.guim.co.uk/cba003edebda41eb6dbbaaa47cfe0d04e598dea4/0_64_5472_3283","cropRatio=5472,3283&size=140,500,1000,2000,5472","","Martens enjoyed another solid year, and while she managed only one goal in the first half of the year, she ended the curtailed season with five assists, unsurprising when you consider only two players in Europe created more chances than the Dutch winger this year. Undoubtedly one of the most creative players around, Martens has started the new campaign in good form for Barcelona, scoring three goals in three starts, including against their rivals Atlético Madrid and Real Madrid. She has also found the net frequently for her country lately as the Netherlands booked their place at the European Championship, and it looks as though Martens is returning to her best form for Barcelona as they look to defend their league title.","RL","","","TD","JA","header-image-day-1_alligator.png"
